p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,100,,,,,,0,,3.000000,0.632456,0.041773,1.195046,0.232069,10,2,1.007500,0.074624
0.008772,100,,,,,,0,,3.000000,0.200000,0.048093,-0.656659,0.511400,100,1,1.003333,0.033166
0.009607,101,2.639209,0.163107,0.050792,-1.899129,0.057548,101,1,2.572192,0.156439,0.037701,-1.065345,0.286720,101,1,1.024752,0.110967
0.010443,101,2.338037,0.133140,0.064252,-0.723081,0.469630,101,1,2.234985,0.122886,0.037153,1.056989,0.290517,101,1,1.063649,0.167057
0.011278,108,2.181958,0.113734,0.082369,-1.612726,0.106804,108,1,2.743726,0.329533,0.042990,0.552935,0.580308,28,3,1.086728,0.237537
0.012114,111,1.894404,0.084893,0.091887,-0.915283,0.360043,111,1,1.776108,0.073665,0.069591,1.495521,0.134778,111,1,1.221160,0.450326
0.012949,136,1.507229,0.043494,0.059429,6.083200,0.000000,136,1,1.387851,0.033258,0.082892,9.345596,0.000000,136,1,2.549493,2.423714
0.013784,43,2.254248,0.191271,0.104590,-2.391463,0.016781,43,1,2.232349,0.187931,0.098593,-2.036788,0.041671,43,1,1.013566,0.062076
0.014620,37,3.000000,0.328798,0.010050,0.136833,0.891163,37,1,,,,,,0,,1.009009,0.054054
0.015455,19,,,,,,0,,,,,,,0,,1.000000,0.000000
0.016291,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017126,4,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017962,2,,,,,,0,,,,,,,0,,1.000000,0.000000
0.018797,2,,,,,,0,,,,,,,0,,1.000000,0.000000
0.019632,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.020468,0,,,,,,0,,,,,,,0,,,
0.021303,0,,,,,,0,,,,,,,0,,,
0.022139,0,,,,,,0,,,,,,,0,,,
0.022974,0,,,,,,0,,,,,,,0,,,
0.023810,0,,,,,,0,,,,,,,0,,,
