p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,400,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,400,,,,,,0,,,,,,,0,,1.000000,0.000000
0.009607,400,,,,,,0,,,,,,,0,,1.000000,0.000000
0.010443,401,,,,,,0,,,,,,,0,,1.000000,0.000000
0.011278,402,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012114,402,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012949,405,,,,,,0,,,,,,,0,,1.000000,0.000000
0.013784,407,,,,,,0,,,,,,,0,,1.000000,0.000000
0.014620,410,,,,,,0,,3.000000,0.098773,0.114434,-4.792992,0.000002,410,1,1.002033,0.029608
0.015455,448,,,,,,0,,,,,,,0,,1.002232,0.047193
0.016291,513,3.000000,0.088302,0.074525,-0.151642,0.879470,513,1,3.000000,0.755929,0.038140,-5.556587,0.000000,7,4,1.010136,0.088162
0.017126,844,2.579004,0.054352,0.014933,4.048944,0.000051,844,1,2.392822,0.047943,0.013713,5.290624,0.000000,844,1,1.094385,0.292050
0.017962,5785,2.373161,0.045420,0.042907,2.551916,0.010713,914,9,2.262157,0.057490,0.041241,2.384956,0.017081,482,33,1.582517,0.698437
0.018797,15819,2.278124,0.026874,0.028417,7.071896,0.000000,2262,13,2.284475,0.052050,0.028258,4.140498,0.000035,609,105,1.719225,0.739433
0.019632,18084,2.225477,0.028181,0.014110,10.111467,0.000000,1891,17,1.989135,0.024168,0.016031,10.844489,0.000000,1675,42,1.675847,0.727092
0.020468,16835,2.450538,0.056634,0.020151,6.200740,0.000000,656,42,2.138908,0.034720,0.014941,9.259489,0.000000,1076,70,1.698298,0.672255
0.021303,13628,2.252845,0.028674,0.010747,11.246767,0.000000,1909,17,1.977530,0.018761,0.008964,14.243540,0.000000,2715,23,1.726412,0.654812
0.022139,13050,2.352378,0.050505,0.020328,6.918529,0.000000,717,42,2.079254,0.040676,0.021230,8.228828,0.000000,704,103,1.682941,0.644637
0.022974,10157,2.425989,0.066559,0.029103,5.062905,0.000000,459,62,2.137742,0.048035,0.023922,6.862233,0.000000,561,134,1.731814,0.641921
0.023810,8205,2.102786,0.024008,0.014363,12.469836,0.000000,2110,13,1.868304,0.018354,0.015100,14.764636,0.000000,2238,20,1.690290,0.626590
0.024645,2635,2.086831,0.040170,0.016375,7.917935,0.000000,732,14,1.847140,0.031462,0.018551,9.070475,0.000000,725,23,1.706348,0.630469
0.025480,2726,2.083538,0.039886,0.025077,7.057557,0.000000,738,16,1.805167,0.021979,0.019354,11.894866,0.000000,1342,12,1.695158,0.585114
0.026316,2894,2.053564,0.033586,0.025203,8.570326,0.000000,984,14,1.835319,0.023964,0.022965,11.480925,0.000000,1215,17,1.720140,0.558136
0.027151,3299,2.432259,0.069557,0.032916,4.676033,0.000003,424,35,1.995004,0.028313,0.026866,7.727336,0.000000,1235,21,1.678447,0.461567
0.027987,1885,2.157278,0.051397,0.037278,5.029817,0.000000,507,23,1.918862,0.033939,0.029955,7.376693,0.000000,733,26,1.744561,0.529350
