p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,401,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,401,,,,,,0,,,,,,,0,,1.000000,0.000000
0.009607,400,,,,,,0,,,,,,,0,,1.000000,0.000000
0.010443,401,,,,,,0,,,,,,,0,,1.000000,0.000000
0.011278,401,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012114,403,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012949,404,,,,,,0,,,,,,,0,,1.000000,0.000000
0.013784,409,3.000000,0.098894,0.087408,-3.262901,0.001103,409,1,3.000000,0.098894,0.087408,-3.262901,0.001103,409,1,1.000000,0.000000
0.014620,427,3.000000,0.096787,0.074416,-3.241503,0.001189,427,1,3.000000,0.096787,0.074416,-2.486453,0.012902,427,1,1.001952,0.029015
0.015455,467,3.000000,0.092549,0.069592,-3.252664,0.001143,467,1,3.000000,0.092549,0.069592,-2.181740,0.029129,467,1,1.005353,0.051459
0.016291,650,3.000000,0.078446,0.010216,1.691169,0.090804,650,1,2.909839,0.074910,0.008270,2.207870,0.027253,650,1,1.038460,0.170279
0.017126,1476,2.186060,0.030872,0.022582,4.911569,0.000001,1476,1,2.004224,0.026139,0.011149,5.589665,0.000000,1476,1,1.192246,0.428073
0.017962,4218,2.435733,0.081544,0.035398,3.084564,0.002039,310,24,2.323866,0.107380,0.043546,3.291069,0.000998,152,133,1.735577,0.850442
0.018797,3838,2.139908,0.051029,0.022427,5.512570,0.000000,499,12,1.851486,0.031365,0.024575,7.313911,0.000000,737,15,1.615766,0.768077
0.019632,3520,2.017880,0.028802,0.019966,7.180454,0.000000,1249,4,1.894459,0.045293,0.013890,5.896437,0.000000,390,24,1.532521,0.724655
0.020468,3615,2.117992,0.039138,0.018964,7.564859,0.000000,816,7,1.862587,0.026382,0.012565,8.984347,0.000000,1069,8,1.538545,0.669939
0.021303,3041,2.345362,0.051592,0.018089,5.609705,0.000000,680,10,2.098450,0.040353,0.015171,6.391804,0.000000,741,16,1.645185,0.634877
0.022139,3196,2.210075,0.041096,0.013247,6.673104,0.000000,867,7,1.965085,0.029019,0.014810,8.153593,0.000000,1106,8,1.508297,0.572130
0.022974,1729,2.092074,0.045152,0.027938,5.810065,0.000000,585,9,1.920228,0.038112,0.019614,7.212100,0.000000,583,15,1.645971,0.626396
0.023810,1662,2.153583,0.054808,0.026418,4.643024,0.000003,443,11,1.978271,0.045963,0.026644,4.840766,0.000001,453,18,1.607844,0.581658
0.024645,519,2.083610,0.106771,0.080144,1.428123,0.153257,103,23,1.758323,0.058161,0.065245,2.368946,0.017839,170,20,1.663574,0.672591
0.025480,655,1.983622,0.062086,0.063192,1.799726,0.071904,251,12,1.964803,0.078515,0.065490,2.186956,0.028746,151,43,1.712875,0.652002
0.026316,586,2.017486,0.072310,0.047373,5.134820,0.000000,198,10,1.860798,0.059260,0.038700,6.892979,0.000000,211,14,1.554244,0.579242
0.027151,993,2.536847,0.122265,0.049679,1.808319,0.070557,158,28,2.036325,0.054022,0.052346,3.183528,0.001455,368,20,1.617918,0.455337
0.027987,423,2.655492,0.288184,0.056045,1.983289,0.047335,33,64,2.366979,0.241650,0.051628,2.339725,0.019298,32,147,1.593807,0.556150
