p,gof_p_size,gof_p_duration
0.007937,,
0.008772,,
0.009607,1.000000,
0.010443,,
0.011278,1.000000,1.000000
0.012114,1.000000,1.000000
0.012949,1.000000,1.000000
0.013784,1.000000,1.000000
0.014620,1.000000,1.000000
0.015455,1.000000,1.000000
0.016291,1.000000,1.000000
0.017126,1.000000,
0.017962,,
0.018797,,
0.019632,,
0.020468,,
0.021303,,
0.022139,,
0.022974,,
0.023810,,
0.024645,,
0.025480,,
0.026316,,
0.027151,,
0.027987,,
