p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,202,3.000000,0.140720,0.034878,-3.153664,0.001612,202,1,2.942725,0.136690,0.026822,0.114708,0.908677,202,1,1.024340,0.125174
0.008772,201,2.662866,0.117290,0.066555,-3.620794,0.000294,201,1,2.612183,0.113715,0.056939,-2.328029,0.019911,201,1,1.017579,0.090454
0.009607,206,2.392236,0.097002,0.065706,-1.556727,0.119535,206,1,2.734058,0.205795,0.046957,-0.567270,0.570531,71,2,1.039170,0.133223
0.010443,218,2.671729,0.174290,0.055232,-0.565324,0.571853,92,2,2.053586,0.071358,0.048034,1.969727,0.048870,218,1,1.095358,0.238160
0.011278,234,2.633130,0.178189,0.075309,-1.396725,0.162496,84,3,2.398167,0.208427,0.062657,0.168036,0.866555,45,6,1.180990,0.396551
0.012114,291,1.571618,0.033509,0.069682,5.354384,0.000000,291,1,1.454311,0.026632,0.067316,10.332234,0.000000,291,1,1.853942,1.286377
0.012949,186,2.756885,0.259039,0.139997,-2.576567,0.009979,46,297,2.631032,0.240482,0.159207,-2.990108,0.002789,46,2846,4.376689,4.259472
0.013784,49,,,,,,0,,2.538281,0.219754,0.100476,-2.076459,0.037852,49,1,1.023810,0.116642
0.014620,31,,,,,,0,,3.000000,0.359211,0.039060,0.779692,0.435572,31,1,1.075269,0.356302
0.015455,16,,,,,,0,,,,,,,0,,1.000000,0.000000
0.016291,14,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017126,5,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017962,0,,,,,,0,,,,,,,0,,,
0.018797,0,,,,,,0,,,,,,,0,,,
0.019632,0,,,,,,0,,,,,,,0,,,
0.020468,0,,,,,,0,,,,,,,0,,,
0.021303,0,,,,,,0,,,,,,,0,,,
0.022139,0,,,,,,0,,,,,,,0,,,
0.022974,0,,,,,,0,,,,,,,0,,,
0.023810,0,,,,,,0,,,,,,,0,,,
0.024645,0,,,,,,0,,,,,,,0,,,
0.025480,0,,,,,,0,,,,,,,0,,,
0.026316,0,,,,,,0,,,,,,,0,,,
0.027151,0,,,,,,0,,,,,,,0,,,
0.027987,0,,,,,,0,,,,,,,0,,,
