p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.009607,203,,,,,,0,,,,,,,0,,1.002463,0.035007
0.010443,202,,,,,,0,,3.000000,0.140720,0.019550,0.102618,0.918266,202,1,1.010726,0.077930
0.011278,208,3.000000,0.138675,0.016027,-0.571128,0.567913,208,1,3.000000,0.138675,0.010679,0.935317,0.349625,208,1,1.014022,0.077330
0.012114,219,2.763501,0.119166,0.046969,-2.003377,0.045137,219,1,2.686597,0.113970,0.033491,-0.967049,0.333519,219,1,1.023973,0.112465
0.012949,232,2.522241,0.099940,0.060524,-2.438566,0.014746,232,1,2.408423,0.092467,0.039524,0.391961,0.695087,232,1,1.054095,0.178029
0.013784,274,2.658032,0.162583,0.028817,1.125298,0.260463,104,2,2.111499,0.067148,0.027742,3.707755,0.000209,274,1,1.099400,0.265833
0.014620,535,1.655743,0.028350,0.045034,8.018274,0.000000,535,1,1.527573,0.022809,0.027358,12.961101,0.000000,535,1,1.654840,1.143684
0.015455,229,2.236963,0.081741,0.061175,-0.701062,0.483264,229,1,2.688208,0.214403,0.041382,1.301459,0.193101,62,3,1.160101,0.393952
0.016291,144,2.819971,0.151664,0.048202,-2.165165,0.030375,144,1,2.652466,0.137705,0.053838,-2.129580,0.033206,144,1,1.055556,0.202225
0.017126,86,3.000000,0.215666,0.017954,-0.406479,0.684391,86,1,2.801294,0.194239,0.023046,0.335688,0.737106,86,1,1.065891,0.273778
0.017962,66,,,,,,0,,,,,,,0,,1.000000,0.000000
0.018797,41,,,,,,0,,,,,,,0,,1.000000,0.000000
0.019632,34,,,,,,0,,,,,,,0,,1.000000,0.000000
0.020468,31,,,,,,0,,,,,,,0,,1.000000,0.000000
0.021303,11,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022139,12,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022974,4,,,,,,0,,,,,,,0,,1.000000,0.000000
0.023810,8,,,,,,0,,,,,,,0,,1.000000,0.000000
0.024645,5,,,,,,0,,,,,,,0,,1.000000,0.000000
0.025480,4,,,,,,0,,,,,,,0,,1.000000,0.000000
0.026316,2,,,,,,0,,,,,,,0,,1.000000,0.000000
0.027151,2,,,,,,0,,,,,,,0,,1.000000,0.000000
0.027987,1,,,,,,0,,,,,,,0,,1.000000,0.000000
