p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,400,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,401,,,,,,0,,,,,,,0,,1.001247,0.024938
0.009607,400,,,,,,0,,3.000000,0.100000,0.108093,-3.596417,0.000323,400,1,1.000833,0.016646
0.010443,404,,,,,,0,,3.000000,0.099504,0.081459,-2.234509,0.025450,404,1,1.001650,0.023395
0.011278,411,3.000000,0.098653,0.039139,-2.606258,0.009154,411,1,3.000000,0.098653,0.039139,-0.574905,0.565356,411,1,1.005474,0.046365
0.012114,421,3.000000,0.097474,0.026167,-2.748140,0.005993,421,1,3.000000,0.097474,0.019556,-1.031517,0.302298,421,1,1.005542,0.047038
0.012949,445,3.000000,0.094809,0.026551,-2.150508,0.031515,445,1,3.000000,0.094809,0.017562,0.727795,0.466739,445,1,1.011610,0.074469
0.013784,494,2.788403,0.080464,0.038862,-0.139293,0.889218,494,1,2.721680,0.077462,0.029505,1.102802,0.270113,494,1,1.020226,0.108596
0.014620,598,2.548975,0.063342,0.023306,1.882993,0.059701,598,1,2.416553,0.057927,0.011722,3.537126,0.000405,598,1,1.064751,0.227416
0.015455,1165,1.890901,0.036616,0.025155,7.786889,0.000000,592,2,1.655496,0.019205,0.011397,13.977454,0.000000,1165,1,1.430056,0.835404
0.016291,688,2.235937,0.047120,0.051619,0.608718,0.542711,688,1,2.041661,0.039713,0.037770,3.966917,0.000073,688,1,1.183521,0.392467
0.017126,415,2.672827,0.082116,0.040077,-0.947407,0.343432,415,1,2.413770,0.069399,0.034552,1.642232,0.100542,415,1,1.130419,0.417307
0.017962,262,3.000000,0.123560,0.029476,-2.997020,0.002726,262,1,2.900098,0.117388,0.023693,-0.433497,0.664654,262,1,1.066794,0.246889
0.018797,193,,,,,,0,,2.887939,0.135897,0.033372,-0.747065,0.455024,193,1,1.050950,0.218253
0.019632,173,,,,,,0,,3.000000,0.152057,0.058266,-2.264026,0.023573,173,1,1.013487,0.153563
0.020468,128,,,,,,0,,,,,,,0,,1.015625,0.086996
0.021303,91,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022139,84,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022974,56,,,,,,0,,,,,,,0,,1.000000,0.000000
0.023810,47,,,,,,0,,,,,,,0,,1.000000,0.000000
0.024645,15,,,,,,0,,,,,,,0,,1.000000,0.000000
0.025480,13,,,,,,0,,,,,,,0,,1.000000,0.000000
0.026316,7,,,,,,0,,,,,,,0,,1.000000,0.000000
0.027151,8,,,,,,0,,,,,,,0,,1.000000,0.000000
0.027987,7,,,,,,0,,,,,,,0,,1.000000,0.000000
