p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,201,,,,,,0,,,,,,,0,,1.002488,0.035179
0.009607,200,3.000000,0.141421,0.049104,-2.820774,0.004791,200,1,3.000000,0.141421,0.039104,-2.092686,0.036377,200,1,1.005000,0.049749
0.010443,202,3.000000,0.140720,0.029451,-1.879639,0.060157,202,1,3.000000,0.140720,0.024528,-0.719665,0.471731,202,1,1.006601,0.054605
0.011278,210,3.000000,0.138013,0.016485,-1.004945,0.314924,210,1,3.000000,0.138013,0.016485,0.236048,0.813396,210,1,1.005159,0.056401
0.012114,213,2.705566,0.116863,0.034588,-0.345374,0.729813,213,1,2.640234,0.112387,0.022585,0.997412,0.318565,213,1,1.021283,0.095522
0.012949,243,2.421387,0.091182,0.040646,0.320719,0.748423,243,1,2.318188,0.084562,0.019673,2.530663,0.011385,243,1,1.056957,0.179142
0.013784,304,2.082487,0.062085,0.036701,3.299318,0.000969,304,1,1.967289,0.055478,0.011182,5.147942,0.000000,304,1,1.138983,0.369133
0.014620,623,1.493502,0.019772,0.053111,21.370825,0.000000,623,1,1.378903,0.015180,0.068342,28.829071,0.000000,623,1,2.579097,2.541776
0.015455,188,2.552197,0.113206,0.017048,1.579344,0.114257,188,1,2.352466,0.098639,0.031556,3.440286,0.000581,188,1,1.102725,0.276208
0.016291,103,2.818066,0.179139,0.047558,-1.609005,0.107615,103,1,2.595190,0.157179,0.027588,0.904465,0.365749,103,1,1.082524,0.290188
0.017126,85,,,,,,0,,,,,,,0,,1.011765,0.075789
0.017962,40,,,,,,0,,,,,,,0,,1.000000,0.000000
0.018797,33,,,,,,0,,,,,,,0,,1.015152,0.085710
0.019632,25,,,,,,0,,,,,,,0,,1.000000,0.000000
0.020468,13,,,,,,0,,,,,,,0,,1.000000,0.000000
0.021303,10,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022139,8,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022974,4,,,,,,0,,,,,,,0,,1.000000,0.000000
0.023810,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.024645,3,,,,,,0,,,,,,,0,,1.000000,0.000000
0.025480,0,,,,,,0,,,,,,,0,,,
0.026316,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.027151,0,,,,,,0,,,,,,,0,,,
0.027987,0,,,,,,0,,,,,,,0,,,
