n_exteroceptor,vision_distance,p,n_complete,alpha_size,alpha_duration,ks_size,ks_duration,D
4,80,0.017126,191,2.361497,2.959644,0.047742,0.05139,1.920273
4,80,0.017962,110,2.391431,2.684619,0.020854,0.027445,1.6243489999999998
4,80,0.018797,81,2.846997,3.0,0.282682,0.020947,2.650626
4,80,0.019632,76,3.0,,0.011473,,
4,80,0.020468,51,,,,,
4,80,0.021303,47,,,,,
4,80,0.022139,31,,,,,
4,80,0.022974,30,,,,,
4,80,0.02381,38,,,,,
8,80,0.007937,100,,,,,
8,80,0.008772,100,,,,,
8,80,0.009607,100,,,,,
8,80,0.010443,102,,,,,
8,80,0.011278,103,,,,,
8,80,0.012114,103,,,,,
8,80,0.012949,102,3.0,3.0,0.030838,0.030838,2.5616760000000003
8,80,0.013784,115,2.933936,2.978027,0.013884,0.02017,2.446017
8,80,0.01462,124,2.658325,2.766724,0.02929,0.022178,1.976517
8,80,0.015455,212,2.038268,2.17478,0.036379,0.05512,0.8045470000000001
8,80,0.016291,343,1.516455,1.740292,0.046104,0.020858,0.3431250000000001
8,80,0.017126,185,1.990702,2.196533,0.059543,0.04308,0.7898580000000001
8,80,0.017962,121,2.274976,2.503784,0.04692,0.068568,1.3942480000000002
8,80,0.018797,94,2.858496,3.0,0.034643,0.034035,2.427174
8,80,0.019632,62,2.962207,,0.013356,,
8,80,0.020468,41,,,,,
8,80,0.021303,47,,,,,
8,80,0.022139,45,,,,,
8,80,0.022974,27,,,,,
8,80,0.02381,24,,,,,
16,80,0.007937,100,,,,,
16,80,0.008772,101,,,,,
16,80,0.009607,101,,,,,
16,80,0.010443,101,,,,,
16,80,0.011278,101,,,,,
16,80,0.012114,102,3.0,,0.040642,,
16,80,0.012949,102,,,,,
16,80,0.013784,104,2.61731,2.704468,0.015071,0.02595,1.8627989999999996
16,80,0.01462,132,2.363306,2.485547,0.034862,0.033945,1.4176600000000001
16,80,0.015455,167,2.30374,2.606836,0.033595,0.04888,1.493051
16,80,0.016291,361,1.494561,1.621835,0.036703,0.02764,0.44794700000000004
16,80,0.017126,174,2.018624,2.197266,0.039609,0.055172,0.8106709999999999
16,80,0.017962,115,2.392163,2.642358,0.023599,0.026334,1.5844540000000003
16,80,0.018797,74,2.758447,2.960596,0.0247,0.029112,2.272855
16,80,0.019632,57,,,,,
16,80,0.020468,52,2.628662,,0.068722,,
16,80,0.021303,27,,,,,
16,80,0.022139,34,,,,,
16,80,0.022974,26,,,,,
16,80,0.02381,26,,,,,
32,80,0.007937,100,,,,,
32,80,0.008772,100,,,,,
32,80,0.009607,100,,,,,
32,80,0.010443,100,,,,,
32,80,0.011278,100,3.0,,0.048093,,
32,80,0.012114,102,3.0,3.0,0.01123,0.01123,2.5224599999999997
32,80,0.012949,104,2.704468,2.765698,0.045181,0.055814,2.0711609999999996
32,80,0.013784,117,2.818286,2.847729,0.021182,0.023232,2.2104290000000004
32,80,0.01462,117,2.19082,2.270215,0.019761,0.040708,1.021504
32,80,0.015455,148,2.328939,2.661694,0.05364,0.045663,1.5899359999999998
32,80,0.016291,250,1.553548,1.684187,0.051478,0.043828,0.46466699999999983
32,80,0.017126,136,1.908036,2.064331,0.039936,0.033942,0.5462450000000002
32,80,0.017962,89,2.090039,2.277832,0.064757,0.07102,1.003648
32,80,0.018797,66,2.626465,2.971509,0.014824,0.024921,2.137719
32,80,0.019632,43,,,,,
32,80,0.020468,24,,,,,
32,80,0.021303,25,,,,,
32,80,0.022139,17,,,,,
32,80,0.022974,17,,,,,
32,80,0.02381,14,,,,,
2,90,0.007937,100,,,,,
2,90,0.008772,100,,,,,
2,90,0.009607,100,,,,,
2,90,0.010443,102,,,,,
2,90,0.011278,101,,,,,
2,90,0.012114,103,3.0,,0.095648,,
2,90,0.012949,105,,,,,
2,90,0.013784,113,2.925146,2.952466,0.015987,0.019941,2.41354
2,90,0.01462,140,2.391064,2.549268,0.013624,0.027237,1.4811930000000002
2,90,0.015455,199,2.233813,2.721313,0.022102,0.034335,1.511563
2,90,0.016291,251,2.11123,1.947461,0.048784,0.047411,0.7599639999999999
2,90,0.017126,165,2.09187,2.321045,0.038371,0.042922,0.994208
2,90,0.017962,107,2.562744,2.800562,0.029591,0.035641,1.928538
2,90,0.018797,68,,,,,
2,90,0.019632,53,,,,,
2,90,0.020468,42,,,,,
2,90,0.021303,35,,,,,
2,90,0.022139,39,,,,,
2,90,0.022974,33,,,,,
2,90,0.02381,21,,,,,
4,90,0.007937,100,,,,,
4,90,0.008772,100,,,,,
4,90,0.009607,101,,,,,
4,90,0.010443,100,,,,,
4,90,0.011278,104,,,,,
4,90,0.012114,107,,,,,
4,90,0.012949,106,3.0,3.0,0.026368,0.026368,2.5527360000000003
4,90,0.013784,118,2.818213,3.0,0.122157,0.021731,2.462101
4,90,0.01462,141,2.54751,2.656494,0.019417,0.02504,1.7484609999999998
4,90,0.015455,251,2.023363,2.170312,0.026403,0.032819,0.7528969999999998
4,90,0.016291,203,2.00342,2.197632,0.036889,0.029826,0.7677670000000002
4,90,0.017126,138,2.070617,2.298267,0.073598,0.081728,1.02421
4,90,0.017962,95,2.638989,2.978906,0.02402,0.028875,2.17079
4,90,0.018797,81,3.0,,0.029438,,
4,90,0.019632,52,,,,,
4,90,0.020468,43,,,,,
4,90,0.021303,38,,,,,
4,90,0.022139,34,,,,,
4,90,0.022974,20,,,,,
4,90,0.02381,20,,,,,
8,90,0.007937,100,,,,,
8,90,0.008772,100,,,,,
8,90,0.009607,100,,,,,
8,90,0.010443,100,,,,,
8,90,0.011278,104,3.0,3.0,0.055205,0.055205,2.61041
8,90,0.012114,104,,,,,
8,90,0.012949,112,,,,,
8,90,0.013784,118,2.760571,2.869043,0.031338,0.024735,2.185687
8,90,0.01462,132,2.550879,2.673706,0.021539,0.029997,1.7761210000000003
8,90,0.015455,219,2.231262,2.55769,0.02331,0.024322,1.336584
8,90,0.016291,232,1.934261,2.110181,0.032671,0.053603,0.6307159999999998
8,90,0.017126,122,2.099194,2.854175,0.066913,0.070915,1.591197
8,90,0.017962,87,2.889917,,0.022951,,
8,90,0.018797,70,2.871606,,0.02755,,
8,90,0.019632,55,2.889404,,0.169853,,
8,90,0.020468,43,,,,,
8,90,0.021303,31,,,,,
8,90,0.022139,29,,,,,
8,90,0.022974,26,,,,,
8,90,0.02381,20,,,,,
16,90,0.007937,100,,,,,
16,90,0.008772,100,,,,,
16,90,0.009607,100,,,,,
16,90,0.010443,102,,,,,
16,90,0.011278,101,3.0,,0.059182,,
16,90,0.012114,102,,,,,
16,90,0.012949,106,,,,,
16,90,0.013784,114,3.0,3.0,0.024521,0.024521,2.549042
16,90,0.01462,140,2.336279,2.4479,0.028804,0.048238,1.3612210000000005
16,90,0.015455,171,2.039757,2.16416,0.024036,0.040606,0.7685589999999997
16,90,0.016291,199,1.845241,2.007096,0.028423,0.020471,0.4012310000000001
16,90,0.017126,108,2.22627,2.436475,0.057931,0.083209,1.3038850000000002
16,90,0.017962,80,2.593286,2.884937,0.035671,0.0278,2.0416939999999997
16,90,0.018797,61,,,,,
16,90,0.019632,50,,,,,
16,90,0.020468,24,,,,,
16,90,0.021303,31,,,,,
16,90,0.022139,27,,,,,
16,90,0.022974,15,,,,,
16,90,0.02381,13,,,,,
32,90,0.007937,100,,,,,
32,90,0.008772,100,,,,,
32,90,0.009607,100,,,,,
32,90,0.010443,102,,,,,
32,90,0.011278,102,3.0,,0.034692,,
32,90,0.012114,104,2.731494,2.8177,0.022507,0.03555,2.107251
32,90,0.012949,109,2.530298,2.624927,0.027102,0.046071,1.728398
32,90,0.013784,116,2.336206,2.427759,0.026323,0.048325,1.3386129999999998
32,90,0.01462,123,2.173022,2.279297,0.037777,0.03864,1.028736
32,90,0.015455,145,1.877456,2.712085,0.038653,0.051837,1.180031
32,90,0.016291,220,1.342754,1.554432,0.090774,0.063998,0.757586
32,90,0.017126,114,2.019123,2.609399,0.035544,0.05261,1.2166759999999999
32,90,0.017962,68,2.366895,2.471704,0.038473,0.0628,1.4398719999999998
32,90,0.018797,48,2.663306,2.865381,0.069745,0.041472,2.1399040000000005
32,90,0.019632,23,,,,,
32,90,0.020468,22,,,,,
32,90,0.021303,19,,,,,
32,90,0.022139,15,,,,,
32,90,0.022974,11,,,,,
32,90,0.02381,6,,,,,
2,100,0.007937,101,,,,,
2,100,0.008772,100,,,,,
2,100,0.009607,100,,,,,
2,100,0.010443,103,,,,,
2,100,0.011278,103,,,,,
2,100,0.012114,101,,,,,
2,100,0.012949,107,3.0,3.0,0.027906,0.036067,2.5639730000000003
2,100,0.013784,119,2.830737,2.95459,0.021124,0.027235,2.333686
2,100,0.01462,149,2.77793,2.497339,0.014707,0.053593,1.8435690000000002
2,100,0.015455,371,1.683331,2.370119,0.036869,0.037983,0.6283019999999998
2,100,0.016291,175,1.995702,2.235059,0.04421,0.036763,0.8117340000000002
2,100,0.017126,129,2.614673,2.923682,0.01258,0.014565,2.0654999999999997
2,100,0.017962,77,2.849341,3.0,0.136278,0.025235,2.5108539999999997
2,100,0.018797,62,,,,,
2,100,0.019632,47,,,,,
2,100,0.020468,35,,,,,
2,100,0.021303,31,,,,,
2,100,0.022139,19,,,,,
2,100,0.022974,24,,,,,
2,100,0.02381,20,,,,,
4,100,0.007937,100,,,,,
4,100,0.008772,100,,,,,
4,100,0.009607,101,,,,,
4,100,0.010443,101,,,,,
4,100,0.011278,105,,,,,
4,100,0.012114,105,3.0,3.0,0.035533,0.045057,2.58059
4,100,0.012949,107,3.0,3.0,0.017375,0.036067,2.553442
4,100,0.013784,126,2.825684,2.866992,0.044158,0.050649,2.287483
4,100,0.01462,147,2.320972,2.501953,0.023237,0.045181,1.3913429999999996
4,100,0.015455,351,1.686058,1.836037,0.02182,0.036277,0.40811800000000015
4,100,0.016291,197,2.044316,2.279663,0.029045,0.032893,0.885917
4,100,0.017126,112,2.193384,2.434277,0.070788,0.061212,1.259661
4,100,0.017962,80,2.720508,,0.050908,,
4,100,0.018797,62,2.771997,,0.131268,,
4,100,0.019632,50,,,,,
4,100,0.020468,33,,,,,
4,100,0.021303,30,,,,,
4,100,0.022139,17,,,,,
4,100,0.022974,14,,,,,
4,100,0.02381,11,,,,,
8,100,0.007937,100,,,,,
8,100,0.008772,100,,,,,
8,100,0.009607,101,,,,,
8,100,0.010443,100,,,,,
8,100,0.011278,100,,,,,
8,100,0.012114,107,2.99751,,0.027827,,
8,100,0.012949,112,2.766577,2.840771,0.037419,0.049533,2.1942999999999997
8,100,0.013784,118,2.457275,2.552783,0.022633,0.019242,1.5519329999999998
8,100,0.01462,139,2.326904,2.437866,0.071921,0.091387,1.4280779999999997
8,100,0.015455,279,1.745166,1.977133,0.034617,0.021553,0.32420299999999996
8,100,0.016291,129,2.093994,2.281348,0.031061,0.029638,0.9360409999999999
8,100,0.017126,108,2.467529,2.716992,0.025383,0.037789,1.7476929999999997
8,100,0.017962,63,2.899512,3.0,0.038169,0.009362,2.447043
8,100,0.018797,61,2.91709,,0.027051,,
8,100,0.019632,40,,,,,
8,100,0.020468,24,,,,,
8,100,0.021303,29,,,,,
8,100,0.022139,18,,,,,
8,100,0.022974,18,,,,,
8,100,0.02381,15,,,,,
16,100,0.007937,100,,,,,
16,100,0.008772,100,,,,,
16,100,0.009607,100,,,,,
16,100,0.010443,100,,,,,
16,100,0.011278,106,,,,,
16,100,0.012114,101,3.0,,0.03938,,
16,100,0.012949,109,2.687402,2.76167,0.048551,0.061572,2.0591950000000003
16,100,0.013784,123,2.467603,2.603247,0.018495,0.034932,1.624277
16,100,0.01462,149,1.96746,2.966602,0.046134,0.042592,1.5227879999999998
16,100,0.015455,247,1.594822,1.833517,0.022842,0.049983,0.3341299999999999
16,100,0.016291,169,1.917594,2.102051,0.051555,0.07945,0.65065
16,100,0.017126,90,2.331079,2.582153,0.035278,0.029137,1.4776469999999997
16,100,0.017962,66,2.559888,,0.068345,,
16,100,0.018797,38,,,,,
16,100,0.019632,33,,,,,
16,100,0.020468,22,,,,,
16,100,0.021303,24,,,,,
16,100,0.022139,19,,,,,
16,100,0.022974,14,,,,,
16,100,0.02381,13,,,,,
32,100,0.007937,100,,,,,
32,100,0.008772,100,,,,,
32,100,0.009607,101,,,,,
32,100,0.010443,101,,,,,
32,100,0.011278,101,,,,,
32,100,0.012114,105,2.794629,2.836304,0.029594,0.036326,2.196853
32,100,0.012949,106,2.45354,2.575854,0.027676,0.053663,1.610733
32,100,0.013784,115,2.27146,2.383228,0.021035,0.040632,1.2163549999999996
32,100,0.01462,127,2.380664,2.750391,0.041104,0.036903,1.7090619999999999
32,100,0.015455,167,1.692452,2.032064,0.028644,0.054699,0.30785900000000016
32,100,0.016291,141,1.946604,2.431348,0.042832,0.055586,0.9763699999999998
32,100,0.017126,76,2.060902,2.219971,0.062623,0.084437,0.9279330000000001
32,100,0.017962,47,2.74292,,0.047631,,
32,100,0.018797,34,2.942944,,0.029766,,
32,100,0.019632,26,,,,,
32,100,0.020468,7,,,,,
32,100,0.021303,13,,,,,
32,100,0.022139,9,,,,,
32,100,0.022974,5,,,,,
32,100,0.02381,8,,,,,
2,150,0.007937,100,,,,,
2,150,0.008772,101,,,,,
2,150,0.009607,101,,,,,
2,150,0.010443,101,3.0,3.0,0.019355,0.032707,2.552062
2,150,0.011278,104,3.0,,0.043093,,
2,150,0.012114,112,2.400879,2.4854,0.047511,0.03692,1.4707100000000002
2,150,0.012949,132,2.158521,2.291016,0.067909,0.089718,1.1071639999999998
2,150,0.013784,148,2.042007,2.189868,0.031376,0.032855,0.796106
2,150,0.01462,401,1.389333,1.504088,0.072204,0.060916,0.739699
2,150,0.015455,100,2.503271,2.211401,0.054116,0.094133,1.3629209999999998
2,150,0.016291,57,2.868604,,0.058417,,
2,150,0.017126,38,,,,,
2,150,0.017962,17,,,,,
2,150,0.018797,30,,,,,
2,150,0.019632,12,,,,,
2,150,0.020468,8,,,,,
2,150,0.021303,5,,,,,
2,150,0.022139,5,,,,,
2,150,0.022974,1,,,,,
2,150,0.02381,3,,,,,
4,150,0.007937,100,,,,,
4,150,0.008772,100,,,,,
4,150,0.009607,104,,,,,
4,150,0.010443,105,,,,,
4,150,0.011278,102,3.0,,0.01123,,
4,150,0.012114,109,2.950049,3.0,0.01422,0.014944,2.4792129999999997
4,150,0.012949,133,2.293726,2.418896,0.034023,0.043101,1.289746
4,150,0.013784,157,1.904215,2.272642,0.025349,0.038037,0.7402429999999998
4,150,0.01462,409,1.347259,1.451819,0.07206,0.054962,0.827944
4,150,0.015455,95,2.309766,2.514404,0.031432,0.053784,1.409386
4,150,0.016291,59,2.996777,3.0,0.017906,0.030206,2.544889
4,150,0.017126,32,,,,,
4,150,0.017962,21,,,,,
4,150,0.018797,28,,,,,
4,150,0.019632,8,,,,,
4,150,0.020468,9,,,,,
4,150,0.021303,7,,,,,
4,150,0.022139,4,,,,,
4,150,0.022974,1,,,,,
4,150,0.02381,2,,,,,
8,150,0.007937,100,,,,,
8,150,0.008772,100,,,,,
8,150,0.009607,100,,,,,
8,150,0.010443,103,3.0,3.0,0.023584,0.025269,2.5488530000000003
8,150,0.011278,103,3.0,3.0,0.016373,0.025269,2.5416420000000004
8,150,0.012114,108,2.775659,2.846411,0.017013,0.012925,2.152008
8,150,0.012949,121,2.19375,2.266626,0.057537,0.077751,1.095664
8,150,0.013784,175,1.77652,1.906639,0.038842,0.071185,0.4799080000000001
8,150,0.01462,244,1.346675,1.44963,0.117032,0.090091,0.910818
8,150,0.015455,82,2.441968,,0.074072,,
8,150,0.016291,48,3.0,,0.022438,,
8,150,0.017126,39,3.0,,0.065529,,
8,150,0.017962,32,,,,,
8,150,0.018797,22,,,,,
8,150,0.019632,10,,,,,
8,150,0.020468,8,,,,,
8,150,0.021303,3,,,,,
8,150,0.022139,6,,,,,
8,150,0.022974,5,,,,,
8,150,0.02381,2,,,,,
16,150,0.007937,100,,,,,
16,150,0.008772,101,3.0,,0.044302,,
16,150,0.009607,101,3.0,3.0,0.014599,0.0245,2.539099
16,150,0.010443,102,3.0,,0.023489,,
16,150,0.011278,103,2.808911,2.931006,0.026659,0.045454,2.31203
16,150,0.012114,108,2.374292,2.439185,0.040814,0.056049,1.4103400000000001
16,150,0.012949,126,1.974586,2.779102,0.083137,0.097481,1.4343059999999999
16,150,0.013784,158,1.770297,1.903595,0.031303,0.060226,0.45823100000000005
16,150,0.01462,135,1.577693,1.719342,0.070516,0.040087,0.4689540000000001
16,150,0.015455,57,2.337158,2.449951,0.059809,0.061808,1.4087260000000001
16,150,0.016291,46,2.331885,,0.097576,,
16,150,0.017126,28,,,,,
16,150,0.017962,19,,,,,
16,150,0.018797,12,,,,,
16,150,0.019632,3,,,,,
16,150,0.020468,9,,,,,
16,150,0.021303,1,,,,,
16,150,0.022139,1,,,,,
16,150,0.022974,3,,,,,
16,150,0.02381,0,,,,,
32,150,0.007937,100,,,,,
32,150,0.008772,102,3.0,3.0,0.018182,0.023489,2.541671
32,150,0.009607,101,3.0,3.0,0.0245,0.0245,2.5490000000000004
32,150,0.010443,104,2.955103,,0.037166,,
32,150,0.011278,103,2.585522,2.750098,0.034987,0.06539,1.9359970000000002
32,150,0.012114,108,2.886987,2.43208,0.019023,0.082204,1.920294
32,150,0.012949,112,2.072412,2.5229,0.050307,0.039688,1.1853069999999999
32,150,0.013784,130,1.663572,1.989912,0.030953,0.055888,0.26050100000000015
32,150,0.01462,98,1.650453,1.785898,0.067615,0.034264,0.46643399999999996
32,150,0.015455,49,2.550659,2.634741,0.027999,0.019583,1.732982
32,150,0.016291,39,2.705566,2.705566,0.228926,0.228926,2.368984
32,150,0.017126,20,,,,,
32,150,0.017962,10,,,,,
32,150,0.018797,10,,,,,
32,150,0.019632,4,,,,,
32,150,0.020468,2,,,,,
32,150,0.021303,3,,,,,
32,150,0.022139,1,,,,,
32,150,0.022974,2,,,,,
32,150,0.02381,0,,,,,
2,200,0.007937,101,,,,,
2,200,0.008772,101,3.0,,0.029479,,
2,200,0.009607,101,,,,,
2,200,0.010443,105,2.625659,2.681323,0.075744,0.086152,1.9688780000000001
2,200,0.011278,110,2.358105,2.477783,0.051822,0.04061,1.4283200000000003
2,200,0.012114,111,2.158447,2.231689,0.091229,0.112238,1.0936029999999997
2,200,0.012949,137,1.977089,1.955794,0.05411,0.051517,0.6269220000000001
2,200,0.013784,323,1.354891,2.979212,0.104306,0.06608,1.2947069999999998
2,200,0.01462,97,1.397366,1.501553,0.226078,0.162704,0.9898629999999999
2,200,0.015455,37,2.701538,,0.028285,,
2,200,0.016291,13,,,,,
2,200,0.017126,15,,,,,
2,200,0.017962,9,,,,,
2,200,0.018797,1,,,,,
2,200,0.019632,3,,,,,
2,200,0.020468,3,,,,,
2,200,0.021303,0,,,,,
2,200,0.022139,2,,,,,
2,200,0.022974,0,,,,,
2,200,0.02381,0,,,,,
4,200,0.007937,100,,,,,
4,200,0.008772,101,,,,,
4,200,0.009607,100,3.0,2.800415,0.024104,0.312079,2.636598
4,200,0.010443,103,2.662646,2.713696,0.040093,0.049342,1.965777
4,200,0.011278,113,2.322803,2.475293,0.040258,0.067496,1.40585
4,200,0.012114,129,2.047619,2.596729,0.050404,0.066498,1.2612499999999998
4,200,0.012949,164,1.641693,1.749035,0.040957,0.082342,0.5159570000000002
4,200,0.013784,307,1.259489,1.342955,0.160716,0.132441,1.1907130000000001
4,200,0.01462,59,2.505396,2.546265,0.051684,0.060274,1.6636190000000002
4,200,0.015455,45,2.932324,,0.018964,,
4,200,0.016291,14,,,,,
4,200,0.017126,21,,,,,
4,200,0.017962,8,,,,,
4,200,0.018797,6,,,,,
4,200,0.019632,5,,,,,
4,200,0.020468,4,,,,,
4,200,0.021303,0,,,,,
4,200,0.022139,0,,,,,
4,200,0.022974,0,,,,,
4,200,0.02381,0,,,,,
8,200,0.007937,100,,,,,
8,200,0.008772,101,3.0,3.0,0.020026,0.034401,2.554427
8,200,0.009607,100,2.862964,,0.041932,,
8,200,0.010443,104,2.631299,2.671069,0.060522,0.067974,1.930864
8,200,0.011278,110,2.746362,2.24751,0.055741,0.111426,1.6610390000000002
8,200,0.012114,114,2.014504,2.143799,0.050937,0.048112,0.7573520000000001
8,200,0.012949,152,1.623396,2.046838,0.049321,0.076213,0.29576800000000025
8,200,0.013784,135,1.336811,1.434291,0.166749,0.130695,1.026342
8,200,0.01462,41,3.0,,0.027029,,
8,200,0.015455,22,,,,,
8,200,0.016291,17,,,,,
8,200,0.017126,8,,,,,
8,200,0.017962,7,,,,,
8,200,0.018797,3,,,,,
8,200,0.019632,2,,,,,
8,200,0.020468,2,,,,,
8,200,0.021303,1,,,,,
8,200,0.022139,0,,,,,
8,200,0.022974,0,,,,,
8,200,0.02381,0,,,,,
16,200,0.007937,100,,,,,
16,200,0.008772,102,,,,,
16,200,0.009607,103,2.967554,3.0,0.021569,0.026082,2.515205
16,200,0.010443,102,2.410181,2.493091,0.058613,0.077283,1.5391680000000003
16,200,0.011278,106,2.334082,2.439331,0.016815,0.033896,1.324124
16,200,0.012114,110,1.93155,2.026889,0.054508,0.053486,0.5664330000000003
16,200,0.012949,156,1.497582,1.620103,0.051603,0.082429,0.516347
16,200,0.013784,69,1.700752,1.838057,0.099405,0.040587,0.502687
16,200,0.01462,34,2.696484,2.989966,0.039394,0.01549,2.2413339999999997
16,200,0.015455,22,2.785767,2.785767,0.026831,0.026831,2.125196
16,200,0.016291,12,,,,,
16,200,0.017126,6,,,,,
16,200,0.017962,4,,,,,
16,200,0.018797,1,,,,,
16,200,0.019632,1,,,,,
16,200,0.020468,2,,,,,
16,200,0.021303,0,,,,,
16,200,0.022139,1,,,,,
16,200,0.022974,0,,,,,
16,200,0.02381,0,,,,,
32,200,0.007937,100,3.0,,0.041773,,
32,200,0.008772,100,3.0,,0.048093,,
32,200,0.009607,101,2.572192,2.639209,0.037701,0.050792,1.7998939999999999
32,200,0.010443,101,2.234985,2.338037,0.037153,0.064252,1.1744269999999999
32,200,0.011278,108,2.743726,2.181958,0.04299,0.082369,1.551043
32,200,0.012114,111,1.776108,1.894404,0.069591,0.091887,0.543182
32,200,0.012949,136,1.387851,1.507229,0.082892,0.059429,0.747241
32,200,0.013784,43,2.232349,2.254248,0.098593,0.10459,1.18978
32,200,0.01462,37,,3.0,,0.01005,
32,200,0.015455,19,,,,,
32,200,0.016291,1,,,,,
32,200,0.017126,4,,,,,
32,200,0.017962,2,,,,,
32,200,0.018797,2,,,,,
32,200,0.019632,1,,,,,
32,200,0.020468,0,,,,,
32,200,0.021303,0,,,,,
32,200,0.022139,0,,,,,
32,200,0.022974,0,,,,,
32,200,0.02381,0,,,,,
2,250,0.007937,100,,,,,
2,250,0.008772,101,3.0,3.0,0.019578,0.023392,2.54297
2,250,0.009607,105,2.652905,2.691724,0.052333,0.059468,1.95643
2,250,0.010443,106,2.296655,2.433618,0.036874,0.070327,1.337474
2,250,0.011278,112,1.881153,2.567285,0.064234,0.095908,1.10858
2,250,0.012114,144,1.618535,1.737384,0.099538,0.10812,0.588809
2,250,0.012949,222,2.720918,2.989299,0.111728,0.097842,2.419787
2,250,0.013784,334,1.968776,2.060318,0.146411,0.141966,0.8174710000000003
2,250,0.01462,24,1.760285,1.930709,0.194182,0.138978,0.662736
2,250,0.015455,11,,,,,
2,250,0.016291,6,,,,,
2,250,0.017126,2,,,,,
2,250,0.017962,2,,,,,
2,250,0.018797,1,,,,,
2,250,0.019632,0,,,,,
2,250,0.020468,0,,,,,
2,250,0.021303,0,,,,,
2,250,0.022139,0,,,,,
2,250,0.022974,0,,,,,
2,250,0.02381,0,,,,,
4,250,0.007937,100,3.0,3.0,0.023293,0.023293,2.5465859999999996
4,250,0.008772,101,2.639209,,0.070594,,
4,250,0.009607,101,2.933716,,0.040369,,
4,250,0.010443,107,2.774634,2.315991,0.049025,0.094762,1.7344119999999998
4,250,0.011278,112,2.504879,2.716406,0.046116,0.03257,1.799971
4,250,0.012114,159,2.266533,2.60935,0.066134,0.053644,1.495661
4,250,0.012949,266,2.466397,2.909007,0.116447,0.120896,2.112747
4,250,0.013784,48,1.551426,1.68515,0.218757,0.183519,0.768552
4,250,0.01462,12,,,,,
4,250,0.015455,16,,,,,
4,250,0.016291,6,,,,,
4,250,0.017126,7,,,,,
4,250,0.017962,3,,,,,
4,250,0.018797,2,,,,,
4,250,0.019632,0,,,,,
4,250,0.020468,1,,,,,
4,250,0.021303,0,,,,,
4,250,0.022139,0,,,,,
4,250,0.022974,0,,,,,
4,250,0.02381,0,,,,,
8,250,0.007937,101,2.881421,3.0,0.162841,0.029479,2.5737409999999996
8,250,0.008772,100,2.535205,2.565454,0.092897,0.099113,1.7926689999999998
8,250,0.009607,103,2.56604,2.648804,0.031076,0.047218,1.7931380000000003
8,250,0.010443,108,2.279004,2.353857,0.044469,0.0636,1.2409300000000003
8,250,0.011278,114,1.817232,2.782617,0.077282,0.066805,1.2439360000000002
8,250,0.012114,134,1.47814,2.918998,0.080149,0.110662,1.1316690000000003
8,250,0.012949,167,2.360067,1.289114,0.179818,0.159462,1.9102329999999998
8,250,0.013784,31,2.415088,,0.081264,,
8,250,0.01462,16,,,,,
8,250,0.015455,9,,,,,
8,250,0.016291,11,,,,,
8,250,0.017126,5,,,,,
8,250,0.017962,0,,,,,
8,250,0.018797,0,,,,,
8,250,0.019632,0,,,,,
8,250,0.020468,0,,,,,
8,250,0.021303,0,,,,,
8,250,0.022139,0,,,,,
8,250,0.022974,0,,,,,
8,250,0.02381,0,,,,,
16,250,0.007937,100,3.0,3.0,0.034104,0.034104,2.5682080000000003
16,250,0.008772,101,2.596216,2.639209,0.052388,0.060693,1.8485060000000004
16,250,0.009607,103,2.447827,2.490308,0.073742,0.083152,1.5950290000000003
16,250,0.010443,107,2.443066,2.801147,0.046494,0.036525,1.8272319999999997
16,250,0.011278,115,2.146368,2.792432,0.068809,0.100488,1.6080969999999994
16,250,0.012114,129,1.425574,1.537028,0.091352,0.0748,0.70355
16,250,0.012949,66,1.565239,1.724265,0.136893,0.094544,0.5724110000000001
16,250,0.013784,30,2.640234,,0.040425,,
16,250,0.01462,18,,,,,
16,250,0.015455,4,,,,,
16,250,0.016291,2,,,,,
16,250,0.017126,1,,,,,
16,250,0.017962,3,,,,,
16,250,0.018797,0,,,,,
16,250,0.019632,0,,,,,
16,250,0.020468,0,,,,,
16,250,0.021303,0,,,,,
16,250,0.022139,0,,,,,
16,250,0.022974,0,,,,,
16,250,0.02381,0,,,,,
32,250,0.007937,103,2.742847,2.782983,0.054435,0.061232,2.1414969999999998
32,250,0.008772,102,2.7698,2.845825,0.032185,0.044552,2.192362
32,250,0.009607,100,2.350269,2.436768,0.060861,0.081424,1.4293219999999998
32,250,0.010443,103,1.902461,2.733472,0.096723,0.123521,1.356177
32,250,0.011278,106,1.762392,2.119674,0.086009,0.094649,0.5627239999999998
32,250,0.012114,118,1.337598,1.447364,0.121339,0.086591,0.9229679999999998
32,250,0.012949,36,2.361914,2.481372,0.019283,0.046953,1.409522
32,250,0.013784,17,,,,,
32,250,0.01462,10,,,,,
32,250,0.015455,8,,,,,
32,250,0.016291,1,,,,,
32,250,0.017126,2,,,,,
32,250,0.017962,0,,,,,
32,250,0.018797,0,,,,,
32,250,0.019632,0,,,,,
32,250,0.020468,0,,,,,
32,250,0.021303,0,,,,,
32,250,0.022139,0,,,,,
32,250,0.022974,0,,,,,
32,250,0.02381,0,,,,,
