n_exteroceptor,vision_distance,p,n_complete,alpha_size,alpha_duration,ks_size,ks_duration,D
4,40,0.020468,508,1.831825,2.016766,0.024622,0.023436,0.3966490000000001
4,40,0.021303,477,2.261455,2.527933,0.043057,0.043454,1.3758990000000002
4,40,0.022139,1124,2.159376,2.353597,0.029409,0.018483,1.0608650000000002
4,40,0.022974,617,2.047031,2.418811,0.046386,0.028738,1.0409659999999998
4,40,0.02381,337,1.898582,2.145806,0.041019,0.030764,0.6161709999999999
8,40,0.007937,100,,,,,
8,40,0.008772,100,,,,,
8,40,0.009607,100,,,,,
8,40,0.010443,100,,,,,
8,40,0.011278,100,,,,,
8,40,0.012114,100,,,,,
8,40,0.012949,101,,,,,
8,40,0.013784,103,,,,,
8,40,0.01462,105,,,,,
8,40,0.015455,115,3.0,3.0,0.046353,0.055049,2.6014019999999998
8,40,0.016291,143,3.0,,0.021239,,
8,40,0.017126,393,2.348771,2.721094,0.029394,0.02597,1.625229
8,40,0.017962,1173,2.182451,2.4154,0.046901,0.029867,1.174619
8,40,0.018797,714,1.794083,1.928312,0.024334,0.029252,0.4193570000000001
8,40,0.019632,1053,1.914517,2.534453,0.053704,0.040523,1.0431970000000002
8,40,0.020468,823,2.178729,2.269996,0.054484,0.050452,1.053661
8,40,0.021303,473,2.097724,2.459611,0.061142,0.06441,1.1828870000000002
8,40,0.022139,1188,2.069367,2.355363,0.021374,0.050508,0.9966120000000003
8,40,0.022974,478,2.073307,2.225322,0.035444,0.029483,0.8635559999999997
8,40,0.02381,347,1.831385,2.000382,0.044446,0.044523,0.4207360000000001
16,40,0.007937,100,,,,,
16,40,0.008772,100,,,,,
16,40,0.009607,100,,,,,
16,40,0.010443,100,,,,,
16,40,0.011278,101,,,,,
16,40,0.012114,100,,,,,
16,40,0.012949,105,,,,,
16,40,0.013784,101,,,,,
16,40,0.01462,109,3.0,3.0,0.095648,0.095648,2.6912960000000004
16,40,0.015455,113,3.0,3.0,0.051938,0.006362,2.5583
16,40,0.016291,136,2.88186,2.975757,0.025554,0.019724,2.4028950000000004
16,40,0.017126,279,2.059627,2.416919,0.018677,0.018595,1.0138179999999999
16,40,0.017962,1037,1.831039,1.593257,0.065876,0.062905,0.8665630000000002
16,40,0.018797,723,1.967485,2.132766,0.038312,0.042283,0.6808460000000001
16,40,0.019632,924,1.911732,2.145064,0.038464,0.025376,0.6206360000000001
16,40,0.020468,1010,2.018886,2.186674,0.037346,0.030198,0.7731040000000001
