p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,200,,,,,,0,,,,,,,0,,1.002500,0.035267
0.009607,201,,,,,,0,,,,,,,0,,1.000000,0.000000
0.010443,201,,,,,,0,,,,,,,0,,1.004975,0.049627
0.011278,207,3.000000,0.139010,0.054442,-3.876515,0.000106,207,1,3.000000,0.139010,0.039950,-1.402915,0.160642,207,1,1.008454,0.062078
0.012114,211,3.000000,0.137686,0.040131,-1.609086,0.107598,211,1,3.000000,0.137686,0.035391,-0.251954,0.801077,211,1,1.009479,0.078926
0.012949,215,2.719409,0.117263,0.034726,-0.095196,0.924159,215,1,2.657520,0.113042,0.023515,1.039770,0.298447,215,1,1.019729,0.093206
0.013784,266,2.534692,0.094098,0.034745,-0.128657,0.897629,266,1,2.443359,0.088498,0.029330,1.965549,0.049351,266,1,1.039617,0.131848
0.014620,349,2.171704,0.062720,0.063856,-0.006767,0.994601,349,1,2.053458,0.056390,0.038581,2.915012,0.003557,349,1,1.114855,0.335066
0.015455,714,1.501965,0.018786,0.051034,24.348871,0.000000,714,1,1.387969,0.014519,0.062079,32.721002,0.000000,714,1,2.488799,2.536079
0.016291,230,2.311377,0.086470,0.083666,-2.093559,0.036299,230,1,2.124463,0.074145,0.061578,0.483163,0.628980,230,1,1.154007,0.385235
0.017126,171,,,,,,0,,2.540552,0.117809,0.069798,-2.969003,0.002988,171,1,1.063353,0.213381
0.017962,115,,,,,,0,,2.917017,0.178763,0.024336,0.417665,0.676192,115,1,1.060870,0.220156
0.018797,90,,,,,,0,,3.000000,0.210819,0.056982,0.170114,0.864921,90,1,1.029630,0.143969
0.019632,73,,,,,,0,,,,,,,0,,1.006849,0.058118
0.020468,48,,,,,,0,,,,,,,0,,1.020833,0.099913
0.021303,35,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022139,23,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022974,23,,,,,,0,,,,,,,0,,1.000000,0.000000
0.023810,17,,,,,,0,,,,,,,0,,1.000000,0.000000
0.024645,10,,,,,,0,,,,,,,0,,1.000000,0.000000
0.025480,14,,,,,,0,,,,,,,0,,1.000000,0.000000
0.026316,5,,,,,,0,,,,,,,0,,1.000000,0.000000
0.027151,7,,,,,,0,,,,,,,0,,1.000000,0.000000
0.027987,3,,,,,,0,,,,,,,0,,1.000000,0.000000
