p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,200,3.000000,0.141421,0.058093,-2.738478,0.006172,200,1,3.000000,0.141421,0.058093,-1.564270,0.117754,200,1,1.004167,0.042287
0.008772,200,3.000000,0.141421,0.034104,-2.605508,0.009174,200,1,3.000000,0.141421,0.024104,-1.380094,0.167558,200,1,1.006667,0.054874
0.009607,204,2.880396,0.131654,0.040100,-1.020963,0.307272,204,1,2.764380,0.123531,0.021466,0.446036,0.655571,204,1,1.033263,0.150260
0.010443,205,2.745483,0.121910,0.046412,-1.454932,0.145688,205,1,2.668872,0.116559,0.032766,0.328124,0.742818,205,1,1.023740,0.100662
0.011278,208,2.514331,0.105000,0.061006,-0.896415,0.370031,208,1,2.716772,0.212939,0.029117,0.819122,0.412717,65,2,1.062901,0.236252
0.012114,240,2.638403,0.169895,0.042818,-0.081771,0.934829,93,2,2.101392,0.071095,0.028874,2.972994,0.002949,240,1,1.092976,0.249981
0.012949,302,2.020960,0.079724,0.054586,1.313975,0.188855,164,2,1.687166,0.039542,0.043654,5.419293,0.000000,302,1,1.320521,0.599826
0.013784,482,1.364249,0.016591,0.123562,13.970082,0.000000,482,1,1.276538,0.012596,0.147635,17.143486,0.000000,482,1,3.633667,3.266954
0.014620,123,2.557251,0.140413,0.058257,-0.777827,0.436671,123,1,2.385278,0.124906,0.036458,1.103842,0.269662,123,1,1.087602,0.275707
0.015455,83,3.000000,0.219529,0.027960,-0.594168,0.552400,83,1,3.000000,0.219529,0.015911,0.491813,0.622852,83,1,1.027108,0.155289
0.016291,41,,,,,,0,,,,,,,0,,1.036585,0.170732
0.017126,31,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017962,17,,,,,,0,,,,,,,0,,1.000000,0.000000
0.018797,7,,,,,,0,,,,,,,0,,1.000000,0.000000
0.019632,6,,,,,,0,,,,,,,0,,1.000000,0.000000
0.020468,2,,,,,,0,,,,,,,0,,1.000000,0.000000
0.021303,0,,,,,,0,,,,,,,0,,,
0.022139,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022974,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.023810,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.024645,0,,,,,,0,,,,,,,0,,,
0.025480,0,,,,,,0,,,,,,,0,,,
0.026316,0,,,,,,0,,,,,,,0,,,
0.027151,0,,,,,,0,,,,,,,0,,,
0.027987,0,,,,,,0,,,,,,,0,,,
