p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,201,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,201,,,,,,0,,,,,,,0,,1.002488,0.035179
0.009607,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.010443,203,,,,,,0,,3.000000,0.140372,0.044940,-1.203540,0.228768,203,1,1.001232,0.017503
0.011278,212,3.000000,0.137361,0.031085,-1.674864,0.093961,212,1,3.000000,0.137361,0.021651,-0.179738,0.857358,212,1,1.008805,0.067573
0.012114,217,2.966748,0.133512,0.034654,-2.182791,0.029051,217,1,2.926538,0.130782,0.028874,-1.084786,0.278016,217,1,1.008833,0.059483
0.012949,225,2.652759,0.110184,0.042782,-1.646296,0.099703,225,1,2.544067,0.102938,0.021403,1.381509,0.167123,225,1,1.042000,0.159436
0.013784,272,2.336353,0.081028,0.056659,-0.287799,0.773501,272,1,2.919214,0.243740,0.031457,1.376687,0.168609,62,3,1.100057,0.268252
0.014620,426,2.505871,0.169424,0.035338,1.769659,0.076784,79,5,1.749970,0.036336,0.033734,4.533857,0.000006,426,1,1.291596,0.564359
0.015455,276,2.595630,0.178397,0.076548,-0.044930,0.964163,80,3,1.843803,0.050791,0.046661,3.773401,0.000161,276,1,1.219793,0.428397
0.016291,186,2.553516,0.113909,0.090013,-3.338165,0.000843,186,1,2.408496,0.103276,0.090477,-1.358708,0.174239,186,1,1.070597,0.224422
0.017126,117,,,,,,0,,3.000000,0.184900,0.021369,0.086060,0.931419,117,1,1.029915,0.135410
0.017962,78,,,,,,0,,,,,,,0,,1.025641,0.158062
0.018797,63,,,,,,0,,3.000000,0.755929,0.047209,-0.998177,0.318194,7,2,1.063492,0.314870
0.019632,46,,,,,,0,,,,,,,0,,1.000000,0.000000
0.020468,31,,,,,,0,,,,,,,0,,1.000000,0.000000
0.021303,17,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022139,22,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022974,12,,,,,,0,,,,,,,0,,1.000000,0.000000
0.023810,8,,,,,,0,,,,,,,0,,1.000000,0.000000
0.024645,5,,,,,,0,,,,,,,0,,1.000000,0.000000
0.025480,4,,,,,,0,,,,,,,0,,1.000000,0.000000
0.026316,2,,,,,,0,,,,,,,0,,1.000000,0.000000
0.027151,0,,,,,,0,,,,,,,0,,,
0.027987,0,,,,,,0,,,,,,,0,,,
