p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,200,3.000000,0.141421,0.031907,-0.887259,0.374940,200,1,2.963452,0.138837,0.026814,-0.144617,0.885013,200,1,1.010000,0.071957
0.008772,201,2.673413,0.118033,0.068500,-2.857953,0.004264,201,1,2.610937,0.113627,0.056697,-1.574691,0.115328,201,1,1.021973,0.108546
0.009607,211,2.303467,0.089734,0.073426,-2.682053,0.007317,211,1,2.238574,0.085267,0.056114,-0.389524,0.696888,211,1,1.040837,0.133433
0.010443,208,2.860107,0.236234,0.085774,-1.935559,0.052922,62,3,1.899851,0.062393,0.076262,0.127181,0.898797,208,1,1.106301,0.229852
0.011278,249,2.083813,0.091274,0.078487,-0.797400,0.425218,141,2,1.693900,0.043974,0.058219,4.849271,0.000001,249,1,1.291249,0.555755
0.012114,316,1.493204,0.027745,0.093533,5.514373,0.000000,316,1,1.378879,0.021314,0.093256,9.900905,0.000000,316,1,2.293084,1.667138
0.012949,121,1.486804,0.044255,0.186847,13.818402,0.000000,121,1,1.227518,0.030961,0.235278,3.478999,0.000503,54,2,3.301170,4.047826
0.013784,40,2.578418,0.249570,0.086724,-0.925139,0.354894,40,1,2.430615,0.226200,0.055016,-0.342345,0.732091,40,1,1.066667,0.200000
0.014620,24,,,,,,0,,,,,,,0,,1.000000,0.000000
0.015455,16,,,,,,0,,,,,,,0,,1.031250,0.121031
0.016291,8,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017126,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017962,0,,,,,,0,,,,,,,0,,,
0.018797,0,,,,,,0,,,,,,,0,,,
0.019632,0,,,,,,0,,,,,,,0,,,
0.020468,0,,,,,,0,,,,,,,0,,,
0.021303,0,,,,,,0,,,,,,,0,,,
0.022139,0,,,,,,0,,,,,,,0,,,
0.022974,0,,,,,,0,,,,,,,0,,,
0.023810,0,,,,,,0,,,,,,,0,,,
0.024645,0,,,,,,0,,,,,,,0,,,
0.025480,0,,,,,,0,,,,,,,0,,,
0.026316,0,,,,,,0,,,,,,,0,,,
0.027151,0,,,,,,0,,,,,,,0,,,
0.027987,0,,,,,,0,,,,,,,0,,,
