p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,203,3.000000,0.140372,0.029621,-2.350196,0.018764,203,1,3.000000,0.140372,0.019099,-0.236544,0.813010,203,1,1.020525,0.129164
0.008772,203,2.823047,0.127953,0.047020,-1.887932,0.059035,203,1,2.754272,0.123126,0.035638,-0.179351,0.857662,203,1,1.021511,0.139913
0.009607,213,2.336572,0.091580,0.097121,-3.274951,0.001057,213,1,2.795947,0.197131,0.050334,-0.285934,0.774928,83,2,1.062207,0.201373
0.010443,219,2.704102,0.172140,0.051753,-0.721290,0.470731,98,2,2.315839,0.132920,0.049806,1.072120,0.283666,98,2,1.100438,0.286349
0.011278,241,1.756382,0.048723,0.087341,0.262411,0.793004,241,1,1.643540,0.041454,0.061253,4.751810,0.000002,241,1,1.331691,0.602022
0.012114,331,1.441369,0.024260,0.110492,4.983274,0.000001,331,1,1.336603,0.018501,0.122203,9.178685,0.000000,331,1,2.573824,1.833310
0.012949,96,1.567396,0.057910,0.152635,15.316997,0.000000,96,1,1.448004,0.045724,0.220923,16.783841,0.000000,96,1,2.785305,3.764698
0.013784,30,,,,,,0,,,,,,,0,,1.027778,0.106139
0.014620,21,,,,,,0,,,,,,,0,,1.000000,0.000000
0.015455,10,,,,,,0,,,,,,,0,,1.000000,0.000000
0.016291,4,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017126,6,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017962,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.018797,0,,,,,,0,,,,,,,0,,,
0.019632,0,,,,,,0,,,,,,,0,,,
0.020468,0,,,,,,0,,,,,,,0,,,
0.021303,0,,,,,,0,,,,,,,0,,,
0.022139,0,,,,,,0,,,,,,,0,,,
0.022974,0,,,,,,0,,,,,,,0,,,
0.023810,0,,,,,,0,,,,,,,0,,,
0.024645,0,,,,,,0,,,,,,,0,,,
0.025480,0,,,,,,0,,,,,,,0,,,
0.026316,0,,,,,,0,,,,,,,0,,,
0.027151,0,,,,,,0,,,,,,,0,,,
0.027987,0,,,,,,0,,,,,,,0,,,
