p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,201,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.009607,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.010443,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.011278,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012114,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012949,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.013784,202,,,,,,0,,,,,,,0,,1.000000,0.000000
0.014620,206,,,,,,0,,,,,,,0,,1.000000,0.000000
0.015455,207,,,,,,0,,,,,,,0,,1.000000,0.000000
0.016291,219,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017126,311,2.885596,0.301937,0.059247,-0.870692,0.383922,39,2,2.732300,0.264173,0.102611,-0.712742,0.476005,43,2,1.024900,0.132416
0.017962,1067,2.052350,0.032216,0.046415,3.296795,0.000978,1067,1,1.875213,0.026794,0.036139,4.832374,0.000001,1067,1,1.246512,0.456367
0.018797,6297,2.962939,0.059565,0.054400,-1.090824,0.275350,1086,6,2.727500,0.055353,0.042627,1.271447,0.203570,974,10,1.421194,0.502469
0.019632,11845,2.772459,0.058500,0.027807,3.011629,0.002599,918,11,2.504236,0.055111,0.024117,3.907271,0.000093,745,23,1.418362,0.514616
0.020468,14234,2.762351,0.045564,0.008523,4.527631,0.000006,1496,11,2.396271,0.031395,0.009940,4.694012,0.000003,1978,15,1.483145,0.502487
0.021303,10965,2.823998,0.071379,0.023065,5.266813,0.000000,653,22,2.497996,0.060064,0.022720,6.293725,0.000000,622,46,1.541517,0.531094
0.022139,11707,2.771518,0.049986,0.008657,6.064627,0.000000,1256,15,2.427501,0.043317,0.014772,6.695817,0.000000,1086,29,1.537241,0.487526
0.022974,9613,2.727423,0.065197,0.023424,4.489503,0.000007,702,23,2.411983,0.078809,0.021042,3.806497,0.000141,321,78,1.572531,0.491367
0.023810,8017,2.580254,0.049359,0.011436,5.693420,0.000000,1025,18,2.325611,0.053281,0.013128,5.602947,0.000000,619,48,1.571721,0.469822
0.024645,8447,2.528420,0.052548,0.013062,6.016786,0.000000,846,22,2.199028,0.034512,0.007207,6.937644,0.000000,1207,28,1.560722,0.433482
0.025480,5739,2.366558,0.037290,0.020346,7.323895,0.000000,1343,16,2.083402,0.027265,0.016465,8.928998,0.000000,1579,22,1.632819,0.466381
0.026316,5314,2.424549,0.041558,0.022273,6.194521,0.000000,1175,19,2.319094,0.069814,0.017840,4.900939,0.000001,357,95,1.645965,0.452317
0.027151,5296,2.596527,0.061179,0.020113,5.197738,0.000000,681,30,2.233471,0.032030,0.018390,8.060788,0.000000,1483,27,1.625930,0.408865
0.027987,3679,2.297728,0.052372,0.029487,5.739004,0.000000,614,32,1.998245,0.026670,0.015134,9.505444,0.000000,1401,24,1.686768,0.459753
