p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,101,3.000000,0.199007,0.029479,0.501109,0.616295,101,1,2.881421,1.086239,0.162841,-0.758141,0.448367,3,3,1.004950,0.049505
0.008772,100,2.565454,0.156545,0.099113,-3.891663,0.000100,100,1,2.535205,0.153521,0.092897,-2.479173,0.013169,100,1,1.013333,0.104563
0.009607,103,2.648804,0.162461,0.047218,-0.932556,0.351049,103,1,2.566040,0.154307,0.031076,0.900447,0.367882,103,1,1.030583,0.124702
0.010443,108,2.353857,0.130275,0.063600,-1.532776,0.125331,108,1,2.279004,0.123072,0.044469,0.266289,0.790017,108,1,1.045525,0.163309
0.011278,114,2.782617,0.281857,0.066805,-0.776720,0.437324,40,3,1.817232,0.076541,0.077282,1.842310,0.065430,114,1,1.195440,0.340948
0.012114,134,2.918998,0.376347,0.110662,-1.241974,0.214246,26,12,1.478140,0.041305,0.080149,3.996618,0.000064,134,1,1.645534,0.927227
0.012949,167,1.289114,0.022372,0.159462,5.565343,0.000000,167,1,2.360067,0.194295,0.179818,-4.648479,0.000003,49,2043,4.659193,3.631327
0.013784,31,,,,,,0,,2.415088,0.254157,0.081264,-1.712888,0.086733,31,1,1.091398,0.227337
0.014620,16,,,,,,0,,,,,,,0,,1.000000,0.000000
0.015455,9,,,,,,0,,,,,,,0,,1.000000,0.000000
0.016291,11,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017126,5,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017962,0,,,,,,0,,,,,,,0,,,
0.018797,0,,,,,,0,,,,,,,0,,,
0.019632,0,,,,,,0,,,,,,,0,,,
0.020468,0,,,,,,0,,,,,,,0,,,
0.021303,0,,,,,,0,,,,,,,0,,,
0.022139,0,,,,,,0,,,,,,,0,,,
0.022974,0,,,,,,0,,,,,,,0,,,
0.023810,0,,,,,,0,,,,,,,0,,,
