p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.009607,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.010443,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.011278,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012114,201,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012949,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.013784,203,,,,,,0,,,,,,,0,,1.000000,0.000000
0.014620,202,,,,,,0,,,,,,,0,,1.000000,0.000000
0.015455,209,,,,,,0,,,,,,,0,,1.000000,0.000000
0.016291,216,3.000000,0.603023,0.073183,-2.621612,0.008751,11,2,3.000000,0.603023,0.073183,-1.523103,0.127733,11,2,1.001157,0.016971
0.017126,245,3.000000,1.000000,0.066582,-3.750150,0.000177,4,3,3.000000,0.127775,0.090542,-0.896114,0.370192,245,1,1.002041,0.031879
0.017962,546,2.391724,0.059560,0.021290,3.156074,0.001599,546,1,2.180859,0.050536,0.017427,4.688357,0.000003,546,1,1.148725,0.346371
0.018797,2205,2.684326,0.061544,0.060411,-0.639742,0.522340,749,3,2.683521,0.073545,0.059106,0.291086,0.770985,524,5,1.281064,0.410197
0.019632,9294,2.861792,0.043333,0.048233,4.379433,0.000012,1846,5,2.653311,0.051465,0.008352,5.982253,0.000000,1032,10,1.324275,0.438954
0.020468,14269,2.965137,0.044241,0.021911,5.633041,0.000000,1973,7,2.636506,0.042339,0.014981,6.734400,0.000000,1494,12,1.352452,0.426322
0.021303,10940,2.939209,0.049066,0.042468,1.207003,0.227431,1562,9,2.313822,0.021964,0.044654,6.122677,0.000000,3578,7,1.424077,0.436952
0.022139,9276,2.936338,0.055414,0.020331,4.630187,0.000004,1221,11,2.525628,0.040330,0.019617,6.274769,0.000000,1431,15,1.453456,0.428504
0.022974,8031,2.764077,0.050361,0.032791,4.207283,0.000026,1227,13,2.345831,0.032767,0.025521,5.980000,0.000000,1687,16,1.516733,0.438559
0.023810,8488,2.905188,0.048980,0.031414,2.963917,0.003038,1513,12,2.890061,0.092336,0.021364,2.521873,0.011673,419,43,1.486087,0.390497
0.024645,7644,2.740751,0.050043,0.013338,4.397967,0.000011,1210,15,2.411047,0.033886,0.012314,5.311210,0.000000,1734,18,1.535053,0.395839
0.025480,5838,2.639675,0.053424,0.014769,5.881513,0.000000,942,18,2.289953,0.034800,0.016410,7.343179,0.000000,1374,21,1.552548,0.404300
0.026316,5716,2.993622,0.139241,0.022030,2.305712,0.021127,205,50,2.688304,0.108980,0.018142,2.731451,0.006306,240,94,1.593848,0.381441
0.027151,5062,2.994884,0.081441,0.017957,3.696523,0.000219,600,27,2.554181,0.048711,0.013405,5.609570,0.000000,1018,31,1.584247,0.351981
0.027987,3649,2.954650,0.201607,0.036527,2.650157,0.008045,94,94,2.254338,0.038581,0.024023,4.713841,0.000002,1057,31,1.658146,0.379898
