p,gof_p_size,gof_p_duration
0.007937,,
0.008772,,
0.009607,,
0.010443,,
0.011278,,
0.012114,,
0.012949,,
0.013784,1.000000,1.000000
0.014620,1.000000,
0.015455,,
0.016291,1.000000,1.000000
0.017126,0.929000,1.000000
0.017962,1.000000,1.000000
0.018797,1.000000,1.000000
0.019632,1.000000,1.000000
0.020468,0.999000,1.000000
0.021303,0.958000,1.000000
0.022139,1.000000,1.000000
0.022974,1.000000,1.000000
0.023810,0.804000,1.000000
0.024645,0.884000,0.984000
0.025480,0.876000,1.000000
0.026316,0.996000,1.000000
0.027151,0.373000,0.432000
0.027987,0.127000,0.996000
