p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,202,,,,,,0,,,,,,,0,,1.002475,0.035093
0.009607,203,,,,,,0,,,,,,,0,,1.004926,0.049384
0.010443,204,2.795142,0.125685,0.046205,-2.524197,0.011596,204,1,2.762476,0.123398,0.040752,-1.569509,0.116529,204,1,1.009395,0.069626
0.011278,217,2.432739,0.097261,0.076125,-1.665887,0.095736,217,1,2.349829,0.091632,0.065591,-0.320537,0.748562,217,1,1.044163,0.159432
0.012114,225,2.594385,0.106292,0.036009,0.379044,0.704655,225,1,2.481372,0.098758,0.012508,2.420064,0.015518,225,1,1.047704,0.166595
0.012949,289,1.958182,0.056364,0.081024,-0.191457,0.848168,289,1,1.831729,0.048925,0.040010,3.635297,0.000278,289,1,1.203187,0.417453
0.013784,475,1.566346,0.025986,0.041154,10.264442,0.000000,475,1,1.445431,0.020438,0.056833,16.998952,0.000000,475,1,2.004522,1.639594
0.014620,177,2.340088,0.100727,0.030434,1.580399,0.114015,177,1,2.111865,0.083573,0.048019,3.359866,0.000780,177,1,1.248127,1.239982
0.015455,89,2.623901,0.172133,0.062779,-2.072918,0.038180,89,1,2.456616,0.154401,0.050520,0.164402,0.869415,89,1,1.077528,0.259827
0.016291,59,,,,,,0,,2.915479,0.249374,0.023265,-0.556477,0.577885,59,1,1.005650,0.043027
0.017126,37,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017962,19,,,,,,0,,,,,,,0,,1.000000,0.000000
0.018797,14,,,,,,0,,,,,,,0,,1.000000,0.000000
0.019632,11,,,,,,0,,,,,,,0,,1.000000,0.000000
0.020468,6,,,,,,0,,,,,,,0,,1.000000,0.000000
0.021303,2,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022139,4,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022974,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.023810,0,,,,,,0,,,,,,,0,,,
0.024645,0,,,,,,0,,,,,,,0,,,
0.025480,0,,,,,,0,,,,,,,0,,,
0.026316,0,,,,,,0,,,,,,,0,,,
0.027151,0,,,,,,0,,,,,,,0,,,
0.027987,0,,,,,,0,,,,,,,0,,,
