p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,103,2.782983,0.175683,0.061232,-2.671828,0.007544,103,1,2.742847,0.171728,0.054435,-1.940893,0.052271,103,1,1.011327,0.066756
0.008772,102,2.845825,0.182764,0.044552,-1.234549,0.216999,102,1,2.769800,0.175236,0.032185,0.109073,0.913145,102,1,1.022059,0.121787
0.009607,100,2.436768,0.143677,0.081424,-3.078778,0.002079,100,1,2.350269,0.135027,0.060861,-1.711536,0.086982,100,1,1.043333,0.129893
0.010443,103,2.733472,0.235896,0.123521,-2.689386,0.007158,54,2,1.902461,0.088922,0.096723,-0.883528,0.376951,103,1,1.154045,0.310265
0.011278,106,2.119674,0.149623,0.094649,-0.499710,0.617279,56,3,1.762392,0.098424,0.086009,2.236975,0.025288,60,3,1.463738,0.793127
0.012114,118,1.447364,0.041183,0.086591,7.059744,0.000000,118,1,1.337598,0.031078,0.121339,9.799019,0.000000,118,1,3.179817,3.199726
0.012949,36,2.481372,0.246895,0.046953,-0.333834,0.738505,36,1,2.361914,0.226986,0.019283,0.826192,0.408695,36,1,1.060185,0.176352
0.013784,17,,,,,,0,,,,,,,0,,1.029412,0.117647
0.014620,10,,,,,,0,,,,,,,0,,1.066667,0.200000
0.015455,8,,,,,,0,,,,,,,0,,1.000000,0.000000
0.016291,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017126,2,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017962,0,,,,,,0,,,,,,,0,,,
0.018797,0,,,,,,0,,,,,,,0,,,
0.019632,0,,,,,,0,,,,,,,0,,,
0.020468,0,,,,,,0,,,,,,,0,,,
0.021303,0,,,,,,0,,,,,,,0,,,
0.022139,0,,,,,,0,,,,,,,0,,,
0.022974,0,,,,,,0,,,,,,,0,,,
0.023810,0,,,,,,0,,,,,,,0,,,
