p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,200,,,,,,0,,,,,,,0,,1.002500,0.035267
0.009607,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.010443,202,,,,,,0,,,,,,,0,,1.000000,0.000000
0.011278,205,,,,,,0,,,,,,,0,,1.007317,0.077743
0.012114,211,3.000000,0.137686,0.049609,0.278770,0.780421,211,1,3.000000,0.137686,0.049609,0.826795,0.408353,211,1,1.005134,0.044512
0.012949,213,3.000000,0.137038,0.026546,-1.864534,0.062247,213,1,3.000000,0.137038,0.017156,0.137662,0.890508,213,1,1.016823,0.100909
0.013784,230,3.000000,0.131876,0.033669,-1.116480,0.264217,230,1,3.000000,0.131876,0.036255,-0.983798,0.325215,230,1,1.007971,0.076514
0.014620,291,2.425854,0.083585,0.021576,2.127693,0.033363,291,1,2.327710,0.077832,0.014083,3.192007,0.001413,291,1,1.055073,0.197278
0.015455,520,1.884614,0.038793,0.030966,5.605184,0.000000,520,1,1.819328,0.058081,0.027223,6.512711,0.000000,199,3,1.363605,0.682092
0.016291,368,2.214697,0.063320,0.039192,1.593364,0.111079,368,1,2.035912,0.054001,0.033273,3.233741,0.001222,368,1,1.180196,0.436163
0.017126,248,2.400659,0.088942,0.065784,-1.764352,0.077673,248,1,2.563257,0.159549,0.052717,0.026452,0.978897,96,2,1.149093,0.384836
0.017962,189,2.949023,0.141771,0.046980,-2.492697,0.012678,189,1,2.690845,0.122991,0.037087,-0.217311,0.827966,189,1,1.079894,0.266857
0.018797,113,,,,,,0,,3.000000,0.603023,0.032682,0.287978,0.773364,11,2,1.047198,0.271987
0.019632,110,,,,,,0,,,,,,,0,,1.018182,0.115351
0.020468,79,,,,,,0,,,,,,,0,,1.012658,0.111794
0.021303,69,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022139,40,,,,,,0,,,,,,,0,,1.012500,0.078062
0.022974,42,,,,,,0,,,,,,,0,,1.000000,0.000000
0.023810,43,,,,,,0,,,,,,,0,,1.000000,0.000000
0.024645,20,,,,,,0,,,,,,,0,,1.000000,0.000000
0.025480,9,,,,,,0,,,,,,,0,,1.000000,0.000000
0.026316,14,,,,,,0,,,,,,,0,,1.000000,0.000000
0.027151,10,,,,,,0,,,,,,,0,,1.000000,0.000000
0.027987,5,,,,,,0,,,,,,,0,,1.000000,0.000000
