p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,201,3.000000,0.141069,0.028789,-0.169666,0.865273,201,1,3.000000,0.141069,0.028789,1.081092,0.279656,201,1,1.008292,0.063309
0.008772,205,3.000000,0.139686,0.039714,-2.511051,0.012037,205,1,3.000000,0.139686,0.026629,-0.499179,0.617653,205,1,1.011382,0.087918
0.009607,204,3.000000,0.140028,0.013685,0.227032,0.820399,204,1,3.000000,0.140028,0.006328,0.779661,0.435590,204,1,1.003268,0.032843
0.010443,206,2.896143,0.132111,0.035440,-1.621706,0.104866,206,1,2.848462,0.128788,0.032973,-0.630224,0.528548,206,1,1.012540,0.090757
0.011278,213,2.473315,0.100950,0.063570,-2.021959,0.043181,213,1,2.412744,0.096800,0.049823,-0.190324,0.849056,213,1,1.028013,0.108050
0.012114,232,2.306763,0.085793,0.079180,-1.838061,0.066053,232,1,2.210889,0.079499,0.053298,1.281538,0.200005,232,1,1.064363,0.185920
0.012949,298,2.766211,0.206719,0.051543,-0.376799,0.706323,73,4,1.796191,0.046122,0.041242,4.890569,0.000001,298,1,1.248497,0.504877
0.013784,482,1.408443,0.018604,0.085423,13.173663,0.000000,482,1,2.797089,0.211789,0.093880,-1.018872,0.308264,72,924,2.980093,2.672091
0.014620,136,2.335400,0.114510,0.074802,-1.380617,0.167397,136,1,2.192139,0.102225,0.065703,0.885346,0.375970,136,1,1.102127,0.277883
0.015455,81,,,,,,0,,2.801367,0.200152,0.015960,0.728918,0.466052,81,1,1.045267,0.185208
0.016291,44,,,,,,0,,,,,,,0,,1.022727,0.104149
0.017126,32,,,,,,0,,,,,,,0,,1.000000,0.000000
0.017962,27,,,,,,0,,,,,,,0,,1.000000,0.000000
0.018797,17,,,,,,0,,,,,,,0,,1.000000,0.000000
0.019632,5,,,,,,0,,,,,,,0,,1.000000,0.000000
0.020468,7,,,,,,0,,,,,,,0,,1.000000,0.000000
0.021303,2,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022139,3,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022974,0,,,,,,0,,,,,,,0,,,
0.023810,2,,,,,,0,,,,,,,0,,1.000000,0.000000
0.024645,0,,,,,,0,,,,,,,0,,,
0.025480,0,,,,,,0,,,,,,,0,,,
0.026316,0,,,,,,0,,,,,,,0,,,
0.027151,0,,,,,,0,,,,,,,0,,,
0.027987,0,,,,,,0,,,,,,,0,,,
