p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.009607,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.010443,203,,,,,,0,,,,,,,0,,1.000000,0.000000
0.011278,203,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012114,203,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012949,203,,,,,,0,,,,,,,0,,1.000000,0.000000
0.013784,207,,,,,,0,,,,,,,0,,1.000000,0.000000
0.014620,222,3.000000,0.134231,0.028788,-2.261910,0.023703,222,1,3.000000,0.134231,0.019779,0.148579,0.881886,222,1,1.019895,0.104985
0.015455,287,2.997363,0.117901,0.026667,0.064528,0.948550,287,1,2.859521,0.109764,0.020457,1.333742,0.182289,287,1,1.035424,0.168697
0.016291,445,2.329468,0.063023,0.022516,3.009130,0.002620,445,1,2.163647,0.055162,0.009966,4.384573,0.000012,445,1,1.127540,0.337650
0.017126,880,1.797512,0.026884,0.032763,7.089821,0.000000,880,1,1.640791,0.021601,0.023884,9.069078,0.000000,880,1,1.483507,0.854229
0.017962,556,2.136694,0.048207,0.029010,3.556500,0.000376,556,1,1.919715,0.039005,0.023374,6.609332,0.000000,556,1,1.273178,0.511905
0.018797,345,2.752515,0.171848,0.028354,0.562475,0.573792,104,2,2.182104,0.063642,0.019368,3.654328,0.000258,345,1,1.177724,0.421657
0.019632,255,2.613794,0.101060,0.039282,-0.014101,0.988750,255,1,2.368652,0.085708,0.033019,1.714985,0.086348,255,1,1.131690,0.391985
0.020468,201,3.000000,0.141069,0.020962,-0.255508,0.798331,201,1,2.721533,0.121428,0.012469,1.649009,0.099146,201,1,1.094030,0.312531
0.021303,162,3.000000,0.157135,0.014721,0.367973,0.712894,162,1,2.744385,0.137052,0.015777,1.733226,0.083055,162,1,1.106481,0.392973
0.022139,162,,,,,,0,,,,,,,0,,1.012346,0.156649
0.022974,123,,,,,,0,,3.000000,0.180334,0.070532,-0.909569,0.363050,123,1,1.035230,0.167683
0.023810,113,,,,,,0,,2.919653,0.639884,0.048508,-0.145678,0.884176,9,2,1.037611,0.223659
0.024645,96,,,,,,0,,2.675317,0.837659,0.305983,-2.255520,0.024101,4,2,1.031250,0.226068
0.025480,113,1.746396,0.143644,0.167209,-1.566941,0.117129,27,7,2.593375,0.425847,0.146911,-1.271456,0.203567,14,54,1.280168,0.465295
0.026316,73,,,,,,0,,,,,,,0,,1.003425,0.029059
0.027151,63,,,,,,0,,,,,,,0,,1.005291,0.041661
0.027987,59,,,,,,0,,,,,,,0,,1.000000,0.000000
