p,vision_distance,alpha_size,alpha_duration,ks_duration,ks_size,D
0.01462,30,3.0,,,0.114434,
0.015455,30,,,,,
0.016291,30,3.0,3.0,0.074525,0.03814,2.612665
0.017126,30,2.392822,2.579004,0.014933,0.013713,1.5004719999999998
0.017962,30,2.262157,2.373161,0.042907,0.041241,1.2194660000000004
0.018797,30,2.284475,2.278124,0.028417,0.028258,1.1192739999999999
0.019632,30,1.989135,2.225477,0.01411,0.016031,0.7447530000000002
0.020468,30,2.138908,2.450538,0.020151,0.014941,1.1245379999999998
0.021303,30,1.97753,2.252845,0.010747,0.008964,0.7500860000000001
0.022139,30,2.079254,2.352378,0.020328,0.02123,0.97319
0.022974,30,2.137742,2.425989,0.029103,0.023922,1.1167559999999999
0.02381,30,1.868304,2.102786,0.014363,0.0151,0.500553
0.024645,30,1.84714,2.086831,0.016375,0.018551,0.4688970000000001
0.02548,30,1.805167,2.083538,0.025077,0.019354,0.43313599999999985
0.026316,30,1.835319,2.053564,0.025203,0.022965,0.4370510000000001
0.027151,30,1.995004,2.432259,0.032916,0.026866,0.9870450000000002
0.027987,30,1.918862,2.157278,0.037278,0.029955,0.6433729999999999
0.007937,35,,,,,
0.008772,35,,,,,
0.009607,35,,,,,
0.010443,35,,,,,
0.011278,35,,,,,
0.012114,35,,,,,
0.012949,35,,,,,
0.013784,35,,,,,
0.01462,35,,,,,
0.015455,35,,,,,
0.016291,35,3.0,3.0,0.065776,0.048029,2.613805
0.017126,35,2.150391,2.851904,0.030502,0.0211,1.553897
0.017962,35,1.894055,2.164731,0.027184,0.028881,0.6148510000000003
0.018797,35,1.862939,2.103211,0.014095,0.01418,0.4944249999999999
0.019632,35,1.698353,2.02163,0.029616,0.032614,0.282213
0.020468,35,1.765904,2.013819,0.020793,0.020326,0.32084199999999974
0.021303,35,1.802121,2.070468,0.023366,0.018842,0.4147970000000001
0.022139,35,1.875887,2.109814,0.01748,0.018815,0.5219960000000002
0.022974,35,1.724744,1.98968,0.040242,0.038721,0.31402700000000017
0.02381,35,1.787955,1.990489,0.019351,0.015605,0.332422
0.024645,35,1.81585,2.054044,0.043731,0.0416,0.45522500000000016
0.02548,35,1.874955,2.239376,0.034807,0.035696,0.6848339999999999
0.026316,35,1.921914,2.165257,0.030445,0.030846,0.6484619999999999
0.027151,35,1.966921,2.229136,0.03205,0.030981,0.759088
0.027987,35,1.979264,2.199289,0.021681,0.027169,0.7274029999999997
0.007937,40,,,,,
0.008772,40,,,,,
0.009607,40,,,,,
0.010443,40,,,,,
0.011278,40,,,,,
0.012114,40,,,,,
0.012949,40,,,,,
0.013784,40,3.0,3.0,0.087408,0.087408,2.674816
0.01462,40,3.0,3.0,0.074416,0.074416,2.6488319999999996
0.015455,40,3.0,3.0,0.069592,0.069592,2.639184
0.016291,40,2.909839,3.0,0.010216,0.00827,2.4283249999999996
0.017126,40,2.004224,2.18606,0.022582,0.011149,0.7240149999999996
0.017962,40,2.323866,2.435733,0.035398,0.043546,1.3385430000000003
0.018797,40,1.851486,2.139908,0.022427,0.024575,0.5383960000000001
0.019632,40,1.894459,2.01788,0.019966,0.01389,0.4461949999999998
0.020468,40,1.862587,2.117992,0.018964,0.012565,0.5121080000000001
0.021303,40,2.09845,2.345362,0.018089,0.015171,0.9770720000000004
0.022139,40,1.965085,2.210075,0.013247,0.01481,0.7032169999999998
0.022974,40,1.920228,2.092074,0.027938,0.019614,0.5598540000000003
0.02381,40,1.978271,2.153583,0.026418,0.026644,0.6849159999999997
0.024645,40,1.758323,2.08361,0.080144,0.065245,0.48732200000000025
0.02548,40,1.964803,1.983622,0.063192,0.06549,0.6098630000000002
0.026316,40,1.860798,2.017486,0.047373,0.0387,0.46435699999999985
0.027151,40,2.036325,2.536847,0.049679,0.052346,1.175197
0.027987,40,2.366979,2.655492,0.056045,0.051628,1.6301440000000003
0.007937,45,,,,,
0.008772,45,,,,,
0.009607,45,,,,,
0.010443,45,,,,,
0.011278,45,,,,,
0.012114,45,,,,,
0.012949,45,,,,,
0.013784,45,3.0,3.0,0.10706,0.10706,2.7141200000000003
0.01462,45,3.0,,,0.06307,
0.015455,45,,,,,
0.016291,45,2.767969,2.93042,0.015618,0.02464,2.238647
0.017126,45,2.352242,1.774485,0.056157,0.049658,1.1835719999999998
0.017962,45,1.875722,2.149003,0.034766,0.047137,0.6066279999999998
0.018797,45,1.962066,2.367604,0.02017,0.04013,0.8899700000000001
0.019632,45,1.993128,2.22234,0.027404,0.030206,0.7730779999999999
0.020468,45,2.586677,2.961818,0.056989,0.059827,2.165311
0.021303,45,2.284987,2.261722,0.05533,0.044913,1.146952
0.022139,45,2.385644,2.556694,0.057347,0.068876,1.5685609999999999
0.022974,45,1.918199,2.163867,0.047188,0.0505,0.6797540000000002
0.02381,45,2.36753,2.251071,0.064103,0.07237,1.255074
0.024645,45,2.396782,2.617338,0.062178,0.067901,1.6441990000000002
0.02548,45,1.80781,1.977847,0.062404,0.055491,0.44785800000000003
0.026316,45,2.616882,2.494012,0.061776,0.054836,1.7275060000000002
0.027151,45,2.248328,2.426202,0.083875,0.085696,1.3441009999999998
0.027987,45,2.114759,2.395978,0.071037,0.099625,1.1813989999999999
0.007937,50,,,,,
0.008772,50,,,,,
0.009607,50,,,,,
0.010443,50,,,,,
0.011278,50,,,,,
0.012114,50,3.0,3.0,0.111303,0.111303,2.722606
0.012949,50,,,,,
0.013784,50,3.0,3.0,0.108991,0.108991,2.717982
0.01462,50,3.0,3.0,0.061188,0.058961,2.620149
0.015455,50,3.0,3.0,0.042844,0.03688,2.579724
0.016291,50,2.310864,2.455298,0.030408,0.018587,1.315157
0.017126,50,1.742049,1.961361,0.033528,0.034996,0.3492120000000001
0.017962,50,1.768959,1.957896,0.038028,0.027289,0.3763799999999999
0.018797,50,1.890428,2.272846,0.036369,0.020532,0.7201749999999999
0.019632,50,2.262891,2.501147,0.021782,0.01529,1.3011100000000002
0.020468,50,2.492651,2.352466,0.042865,0.04414,1.4321220000000001
0.021303,50,1.963658,2.166284,0.049701,0.08922,0.768863
0.022139,50,2.865747,3.0,0.014889,0.010181,2.390817
0.022974,50,2.549341,2.883179,0.144682,0.110094,2.1872960000000004
0.02381,50,1.90693,2.095422,0.032665,0.051325,0.5863420000000001
0.024645,50,,,,,
0.02548,50,2.817595,1.756131,0.183681,0.126353,1.8714979999999997
0.026316,50,2.852952,2.609798,0.13129,0.11414,2.20818
0.027151,50,2.063555,2.131063,0.080204,0.051761,0.8265830000000001
0.027987,50,2.23428,1.556577,0.122506,0.132923,1.433132
0.007937,55,,,,,
0.008772,55,,,,,
0.009607,55,,,,,
0.010443,55,,,,,
0.011278,55,,,,,
0.012114,55,,,,,
0.012949,55,,,,,
0.013784,55,,,,,
0.01462,55,3.0,3.0,0.028788,0.019779,2.5485670000000002
0.015455,55,2.859521,2.997363,0.026667,0.020457,2.404008
0.016291,55,2.163647,2.329468,0.022516,0.009966,1.0255969999999999
0.017126,55,1.640791,1.797512,0.032763,0.023884,0.3999260000000001
0.017962,55,1.919715,2.136694,0.02901,0.023374,0.6087929999999999
0.018797,55,2.182104,2.752515,0.028354,0.019368,1.4823409999999997
0.019632,55,2.368652,2.613794,0.039282,0.033019,1.5547469999999999
0.020468,55,2.721533,3.0,0.020962,0.012469,2.2549639999999997
0.021303,55,2.744385,3.0,0.014721,0.015777,2.274883
0.022139,55,,,,,
0.022974,55,3.0,,,0.070532,
0.02381,55,2.919653,,,0.048508,
0.024645,55,2.675317,,,0.305983,
0.02548,55,2.593375,1.746396,0.167209,0.146911,1.6610989999999999
0.026316,55,,,,,
0.027151,55,,,,,
0.027987,55,,,,,
0.007937,60,,,,,
0.008772,60,,,,,
0.009607,60,,,,,
0.010443,60,,,,,
0.011278,60,,,,,
0.012114,60,,,,,
0.012949,60,3.0,,,0.058045,
0.013784,60,3.0,3.0,0.052885,0.052885,2.6057699999999997
0.01462,60,3.0,3.0,0.038353,0.019355,2.557708
0.015455,60,2.691431,2.776831,0.05255,0.048457,2.0692690000000002
0.016291,60,2.067274,2.565308,0.034288,0.019979,1.1868489999999998
0.017126,60,1.71904,1.891357,0.025811,0.027247,0.380741
0.017962,60,2.040929,2.593286,0.039129,0.039077,1.2124210000000002
0.018797,60,2.416699,2.657959,0.011351,0.027255,1.613264
0.019632,60,2.66521,2.966602,0.019568,0.014008,2.165388
0.020468,60,2.915479,3.0,0.024446,0.011587,2.451512
0.021303,60,2.386583,3.0,0.068093,0.168694,2.12337
0.022139,60,3.0,,,0.093466,
0.022974,60,,,,,
0.02381,60,,,,,
0.024645,60,,,,,
0.02548,60,,,,,
0.026316,60,,,,,
0.027151,60,,,,,
0.027987,60,,,,,
0.007937,65,,,,,
0.008772,65,,,,,
0.009607,65,,,,,
0.010443,65,,,,,
0.011278,65,,,,,
0.012114,65,,,,,
0.012949,65,3.0,3.0,0.111489,0.111489,2.7229780000000003
0.013784,65,3.0,,,0.032854,
0.01462,65,2.999634,3.0,0.011925,0.012789,2.5243480000000003
0.015455,65,2.767383,2.862598,0.015649,0.01535,2.1609800000000003
0.016291,65,1.772414,1.927783,0.032216,0.016056,0.39290299999999995
0.017126,65,1.775654,1.950201,0.046597,0.036943,0.408993
0.017962,65,2.205762,2.846704,0.02957,0.018145,1.600181
0.018797,65,2.485693,2.752075,0.040797,0.026292,1.804857
0.019632,65,2.712671,2.92251,0.033471,0.014078,2.18273
0.020468,65,3.0,,,0.038298,
0.021303,65,3.0,,,0.064319,
0.022139,65,,,,,
0.022974,65,2.675317,,,0.305983,
0.02381,65,,,,,
0.024645,65,,,,,
0.02548,65,,,,,
0.026316,65,,,,,
0.027151,65,,,,,
0.027987,65,,,,,
0.007937,70,,,,,
0.008772,70,,,,,
0.009607,70,,,,,
0.010443,70,,,,,
0.011278,70,3.0,3.0,0.108635,0.108635,2.71727
0.012114,70,,,,,
0.012949,70,,,,,
0.013784,70,3.0,3.0,0.03243,0.02338,2.55581
0.01462,70,2.945068,3.0,0.018079,0.013846,2.4769930000000002
0.015455,70,2.654663,2.812354,0.032949,0.024858,2.024824
0.016291,70,1.691912,1.855708,0.032893,0.022289,0.3913860000000002
0.017126,70,1.893712,2.078115,0.041115,0.029943,0.5428850000000001
0.017962,70,2.31394,2.571826,0.032531,0.016607,1.4349040000000004
0.018797,70,2.683374,2.966235,0.031,0.013991,2.1946000000000003
0.019632,70,2.971362,,,0.013361,
0.020468,70,,,,,
0.021303,70,3.0,,,0.048029,
0.022139,70,,,,,
0.022974,70,,,,,
0.02381,70,,,,,
0.024645,70,,,,,
0.02548,70,,,,,
0.026316,70,,,,,
0.027151,70,,,,,
0.027987,70,,,,,
0.007937,75,,,,,
0.008772,75,,,,,
0.009607,75,,,,,
0.010443,75,,,,,
0.011278,75,,,,,
0.012114,75,3.0,3.0,0.066858,0.066858,2.6337159999999997
0.012949,75,3.0,3.0,0.06358,0.06358,2.62716
0.013784,75,3.0,3.0,0.046247,0.039551,2.585798
0.01462,75,2.787451,2.887646,0.028262,0.020485,2.2238439999999997
0.015455,75,2.372168,2.503784,0.029901,0.015792,1.4216449999999998
0.016291,75,1.48396,1.680218,0.020787,0.016995,0.37360400000000005
0.017126,75,2.102272,2.422485,0.024246,0.01944,1.068443
0.017962,75,2.437939,2.668433,0.027614,0.017944,1.65193
0.018797,75,2.699048,2.994507,0.031152,0.022302,2.247009
0.019632,75,3.0,,,0.016807,
0.020468,75,3.0,,,0.035533,
0.021303,75,3.0,,,0.04381,
0.022139,75,,,,,
0.022974,75,,,,,
0.02381,75,,,,,
0.024645,75,,,,,
0.02548,75,,,,,
0.026316,75,,,,,
0.027151,75,,,,,
0.027987,75,,,,,
0.007937,80,,,,,
0.008772,80,,,,,
0.009607,80,,,,,
0.010443,80,,,,,
0.011278,80,3.0,3.0,0.063615,0.063615,2.62723
0.012114,80,,,,,
0.012949,80,3.0,,,0.026368,
0.013784,80,3.0,3.0,0.015749,0.00918,2.524929
0.01462,80,2.688281,2.830225,0.029445,0.02127,2.0692209999999998
0.015455,80,2.197485,2.329907,0.025837,0.028111,1.08134
0.016291,80,1.474791,1.603875,0.028414,0.031173,0.4809210000000001
0.017126,80,2.062235,2.244287,0.058273,0.040785,0.9055799999999997
