p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,400,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,400,,,,,,0,,,,,,,0,,1.000000,0.000000
0.009607,400,,,,,,0,,,,,,,0,,1.000000,0.000000
0.010443,400,,,,,,0,,,,,,,0,,1.000000,0.000000
0.011278,401,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012114,403,,,,,,0,,,,,,,0,,1.000000,0.000000
0.012949,401,,,,,,0,,,,,,,0,,1.000000,0.000000
0.013784,403,,,,,,0,,,,,,,0,,1.000000,0.000000
0.014620,409,,,,,,0,,,,,,,0,,1.000000,0.000000
0.015455,431,3.000000,0.400000,0.101362,-0.992361,0.321021,25,2,3.000000,0.096337,0.110088,-0.942692,0.345838,431,1,1.005027,0.059325
0.016291,463,3.000000,0.666667,0.094360,-1.299711,0.193700,9,3,3.000000,0.632456,0.052682,-1.999932,0.045508,10,3,1.002952,0.039719
0.017126,698,2.874609,0.070955,0.003679,3.850795,0.000118,698,1,2.723804,0.065247,0.013358,5.085617,0.000000,698,1,1.045528,0.186334
0.017962,2408,2.751303,0.137595,0.028393,2.880044,0.003976,162,9,2.340841,0.092748,0.030247,4.159913,0.000032,209,13,1.326045,0.511284
0.018797,17529,2.673605,0.041302,0.010846,6.284532,0.000000,1642,11,2.331965,0.036759,0.010896,6.415745,0.000000,1313,24,1.514464,0.599023
0.019632,24349,2.559815,0.038682,0.014442,6.288775,0.000000,1626,17,2.320469,0.043046,0.024312,6.176852,0.000000,941,57,1.548091,0.610877
0.020468,24795,2.547407,0.043251,0.012697,7.888313,0.000000,1280,23,2.170379,0.023319,0.016641,10.765773,0.000000,2519,27,1.566991,0.583088
0.021303,22733,2.333741,0.023552,0.012569,12.117464,0.000000,3207,13,2.049499,0.017642,0.012086,13.801128,0.000000,3539,21,1.591505,0.587401
0.022139,18618,2.407750,0.032863,0.011616,9.418604,0.000000,1835,22,2.137447,0.028561,0.012900,10.813921,0.000000,1586,51,1.642171,0.596448
0.022974,17005,2.304448,0.020571,0.015870,11.246114,0.000000,4021,11,2.154929,0.034342,0.017467,8.159038,0.000000,1131,61,1.623689,0.542129
0.023810,14949,2.218640,0.019795,0.020859,11.200340,0.000000,3790,12,1.933745,0.012769,0.019496,14.752338,0.000000,5347,13,1.635924,0.542204
0.024645,5429,2.189016,0.030448,0.019272,10.721761,0.000000,1525,13,1.951114,0.022197,0.023211,13.746024,0.000000,1836,17,1.665288,0.554503
0.025480,4356,2.495295,0.070884,0.025541,3.997073,0.000064,445,44,2.268773,0.069114,0.031988,3.917469,0.000089,337,124,1.746645,0.553540
0.026316,3969,2.093538,0.029480,0.025137,8.197394,0.000000,1376,14,1.896723,0.023161,0.025675,10.628108,0.000000,1499,20,1.698417,0.525527
0.027151,3523,2.283669,0.046230,0.016031,7.590033,0.000000,771,23,2.010979,0.029594,0.017776,9.754199,0.000000,1167,25,1.672221,0.474994
0.027987,2569,2.385852,0.085947,0.028655,3.479131,0.000503,260,64,2.145096,0.067127,0.031979,5.206450,0.000000,291,125,1.764863,0.531032
